InternalProjectID,AverageForecast,AverageCount,Forecast_Method,AbsPE,PercentError,UnifiedImprovementType,Error,,
93,86000,103900,6,20.8139535,20.8139535,6,-17900,Nicolaisen,Nicolaisen93
95,24930,23980,6,3.8106699,-3.8106699,6,950,Nicolaisen,Nicolaisen95
96,5634,5320,6,5.5733049,-5.5733049,6,314,Nicolaisen,Nicolaisen96
97,16216,15180,6,6.3887519,-6.3887519,6,1036,Nicolaisen,Nicolaisen97
98,15500,14840,6,4.2580645,-4.2580645,6,660,Nicolaisen,Nicolaisen98
99,38295,43910,6,14.6624886,14.6624886,6,-5615,Nicolaisen,Nicolaisen99
100,6984,6520,6,6.6437572,-6.6437572,6,464,Nicolaisen,Nicolaisen100
107,21500,20850,6,3.0232558,-3.0232558,6,650,Nicolaisen,Nicolaisen107
112,27700,19750,6,28.700361,-28.700361,6,7950,Nicolaisen,Nicolaisen112
117,,,6,27.2727273,-27.2727273,6,0,Nicolaisen,Nicolaisen117
125,7300,11700,6,60.2739726,60.2739726,6,-4400,Nicolaisen,Nicolaisen125
136,18200,28200,6,54.9450549,54.9450549,6,-10000,Nicolaisen,Nicolaisen136
152,175866,156091,6,11.2443565,-11.2443565,6,19775,Nicolaisen,Nicolaisen152
158,,,6,13,13,6,0,Nicolaisen,Nicolaisen158
164,154100,149700,6,2.8552888,-2.8552888,6,4400,Nicolaisen,Nicolaisen164
174,254538,242055,6,4.9041793,-4.9041793,6,12483,Nicolaisen,Nicolaisen174
179,16000,19500,6,21.875,21.875,6,-3500,Nicolaisen,Nicolaisen179
184,25000,23500,6,6,-6,6,1500,Nicolaisen,Nicolaisen184
199,74600,81200,6,8.847185,8.847185,6,-6600,Nicolaisen,Nicolaisen199
206,,,6,100,100,6,0,Nicolaisen,Nicolaisen206
215,40850,40400,6,1.1015912,-1.1015912,6,450,Nicolaisen,Nicolaisen215
221,32250,27600,6,14.4186047,-14.4186047,6,4650,Nicolaisen,Nicolaisen221
225,47708,53900,6,12.9789553,12.9789553,6,-6192,Nicolaisen,Nicolaisen225
238,109000,109900,6,0.8256881,0.8256881,6,-900,Nicolaisen,Nicolaisen238
247,59658,88197,6,47.8376747,47.8376747,6,-28539,Nicolaisen,Nicolaisen247
252,28400,20400,6,28.1690141,-28.1690141,6,8000,Nicolaisen,Nicolaisen252
260,50691,69309,6,36.7284133,36.7284133,6,-18618,Nicolaisen,Nicolaisen260
264,34992,52613,6,50.3572245,50.3572245,6,-17621,Nicolaisen,Nicolaisen264
271,24880,32550,6,30.8279743,30.8279743,6,-7670,Nicolaisen,Nicolaisen271
284,101390,85902,6,15.2756682,-15.2756682,6,15488,Nicolaisen,Nicolaisen284
292,30400,32400,6,6.5789474,6.5789474,6,-2000,Nicolaisen,Nicolaisen292
299,30400,31700,6,4.2763158,4.2763158,6,-1300,Nicolaisen,Nicolaisen299
304,27500,26500,6,3.6363636,-3.6363636,6,1000,Nicolaisen,Nicolaisen304
315,105938,105354,6,0.5512658,-0.5512658,6,584,Nicolaisen,Nicolaisen315
321,1600,2206,6,37.875,37.875,6,-606,Nicolaisen,Nicolaisen321
331,24600,33600,6,36.5853659,36.5853659,6,-9000,Nicolaisen,Nicolaisen331
347,159120,114115,6,28.2836853,-28.2836853,6,45005,Nicolaisen,Nicolaisen347
353,70800,60200,6,14.9717514,-14.9717514,6,10600,Nicolaisen,Nicolaisen353
357,57100,62900,6,10.1576182,10.1576182,6,-5800,Nicolaisen,Nicolaisen357
360,146158,130932,6,10.4174934,-10.4174934,6,15226,Nicolaisen,Nicolaisen360
362,50600,43600,6,13.8339921,-13.8339921,6,7000,Nicolaisen,Nicolaisen362
366,151744,143361,6,5.5244359,-5.5244359,6,8383,Nicolaisen,Nicolaisen366
381,703950,554300,6,21.2586121,-21.2586121,6,149650,Nicolaisen,Nicolaisen381
392,717000,727650,6,1.4853556,1.4853556,6,-10650,Nicolaisen,Nicolaisen392
409,256500,278100,6,8.4210526,8.4210526,6,-21600,Nicolaisen,Nicolaisen409
413,298000,254000,6,14.7651007,-14.7651007,6,44000,Nicolaisen,Nicolaisen413
