,PID,YearForecastMade,ForecastMethod,OpeningYear,OYADTForecast,DesignYear,DYADTForecast,Notes,NearActualOpenYear,NearOpenYrCount,RecentYr,RecentYrCnt,ActualOpeningYear,TollType,FunctionalClass,Methodology,AreaType,ImpromentType,State,diffPOY_NAOY,diffPOY_RY,diffAOY_RY,diffPOY_AOY,diffAOY_NAOY,Year,ActualCount,AdjustedForecast
88,23584,2004,RC,2005.0,6870.0,2017,8400.0,,2006.0,6730.0,2009.0,5780.0,2005.0,1,3.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,6730.0,6997.5
89,23586,2004,MR,2005.0,26380.0,2025,34080.0,,2005.0,20610.0,2008.0,29090.0,2004.0,1,4.0,6,1.0,12,41,0.0,3.0,-4.0,1.0,-1.0,2005.0,20610.0,26380.0
90,23586,2004,MR,2005.0,22760.0,2025,29960.0,,2005.0,11990.0,2008.0,16090.0,2004.0,1,4.0,6,1.0,12,41,0.0,3.0,-4.0,1.0,-1.0,2005.0,11990.0,22760.0
91,23586,2004,MR,2005.0,15620.0,2025,21300.0,,2005.0,11990.0,2008.0,16090.0,2004.0,1,4.0,6,1.0,12,41,0.0,3.0,-4.0,1.0,-1.0,2005.0,11990.0,15620.0
92,22491,2003,UNK,2006.0,15180.0,2026,20940.0,,2005.0,13910.0,2008.0,12100.0,2006.0,1,4.0,6,1.0,3,41,1.0,2.0,-2.0,0.0,1.0,2008.0,12100.0,15756.0
93,22491,2003,UNK,2006.0,8730.0,2026,12300.0,,2006.0,6850.0,2009.0,6860.0,2006.0,1,4.0,6,1.0,3,41,0.0,3.0,-3.0,0.0,0.0,2006.0,6850.0,8730.0
94,22491,2003,UNK,2006.0,10410.0,2026,15930.0,,2006.0,8460.0,2009.0,8390.0,2006.0,1,4.0,6,1.0,3,41,0.0,3.0,-3.0,0.0,0.0,2006.0,8460.0,10410.0
95,22491,2003,UNK,2006.0,14850.0,2026,20600.0,,2006.0,12700.0,2009.0,12430.0,2006.0,1,4.0,6,1.0,3,41,0.0,3.0,-3.0,0.0,0.0,2006.0,12700.0,14850.0
96,22491,2003,UNK,2006.0,3460.0,2026,4960.0,,2006.0,2250.0,2009.0,2250.0,2006.0,1,6.0,6,1.0,3,41,0.0,3.0,-3.0,0.0,0.0,2006.0,2250.0,3460.0
97,22491,2003,UNK,2006.0,1460.0,2026,1970.0,,2006.0,1840.0,2009.0,1470.0,2006.0,1,6.0,6,1.0,3,41,0.0,3.0,-3.0,0.0,0.0,2006.0,1840.0,1460.0
