"Segment/
Intersection",Roadway ID,Intersection Approach,ForecastYear,AADT,StationID,Actual AADT,Improvement Type
SR A1A (MP 5.900) In St. Lucie County to (MP 7.709) ,9406000,S ,2012,7600,940703,5900,12
SR A1A from (MP 5.945) to SR 5 /US 1 ,93080000,E,2012,14600,935290,10600,12
US 27/SR 25 at (MP 12.5),93160000,,2010,9400,935169,8000,1
SR 70 from Header Canal Road (MP 13.392) to McCarthy Road (MP 17.760),94030000,E ,2009,5800,940195,5100,3
US -1/SR-5 from (MP 20.890) to St. Lucie/Indian River County Line,94010000,,2013,30800,940107,16100,1
SR 9 (I-95) from SB (MP 22.681) to SB (MP 24.515),89095000,,2011,31100,890334,25863,3
SR A1A from South of Oakland Park Boulevard to North of Flamingo Avenue ,86230000,S,2013,30100,865126,20400,1
SR A1A from South of Oakland Park Boulevard to North of Flamingo Avenue ,86230000,,2013,25400,860432,19200,12
US-1/SR-5 from North of Highland Drive to Oslo Road,88010000,N,2014,33100,880100,19500,3
SR 5/US-1 from North of parker Bridge (MP 2.389) to South of SR 706/Indiantown Road (MP 9.470),93040000,,2012,25300,930006,21000,12
SR 9 North of SR 60 (MP 6.500) to N. of CR-512 (MP 16.500),88081000,N,2014,50500,882001,42000,"1,3"
SR 811 from Northlake Blvd (MP 1.245) to South of Burns Road (MP 2.980),93090000,,2011,23400,935257,22000,1
SR 811 from Northlake Blvd (MP 1.245) to South of Burns Road (MP 2.980),93090000,,2011,27400,935257,22000,1
SR 809 from Pavement seam north of Blue Heron (MP 7.47) to South of PGA Blvd (MP 11.08),93150000,N,2012,33300,930496,28000,1
SR 809 from Pavement seam north of Blue Heron (MP 7.47) to South of PGA Blvd (MP 11.08),93150000,S,2012,39000,930708,35000,1
SR A1A from Olive to Cocoanut Row,93060000,,2014,22600,930738,12900,1
SR 76 from east Port of Mayaca (MP 1.810) to west of SR 710 (MP 9.770) ,89060000,,2011,2900,895065,1650,1
SR 84 from Red Road to East of SW 26 Terrace,86080000,,2013,43200,860122,37000,1
SR 823 from South of Johnson Street to North of Orange Drive,86190000,,2009,45300,860084,39500,1
SR 802 Lake Worth Road from SR 7 (MP 0.000) to Turnpike (MP 1.593) ,93180000,,2012,34900,930053,34000,12
US-1/SR-5 from St. Lucie/Indian River County Line to 11 Street ,88010000,N,2014,31900,880100,19500,12
SR 814 Atlantic Blvd from US-1 to A1A,86130000,,2011,31500,860435,23500,12
SR 710 Dr Martin Luther King Jr Blvd from West of Australian Avenue (MP 22.822) to Old Dixie Highway (MP 23.655),93310000, ,2014,17200,935287,7100,3
SR 710 Dr Martin Luther King Jr Blvd from West of Australian Avenue (MP 22.822) to Old Dixie Highway (MP 23.655),93310000,,2014,25100,933505,17100,3
SR 710 Dr Martin Luther King Jr Blvd from West of Australian Avenue (MP 22.822) to Old Dixie Highway (MP 23.655),93310000,,2014,19700,933506,17100,3
SR 60 from 66th Ave (MP 26.100) to 58th Ave (MP 27.200),88060000,,2013,42000,880025,31500,1
SR 822 from MP 2.600 to MP 3.440,86230000,,2013,56300,865173,46000,1
SR 822 from MP 2.600 to MP 3.441,86230000,,2013,51800,860034,45500,1
SR 811/N Dixie Highway from NE 26th St. (MP 1.80 to McNab Road (MP 5.40),86170000,"NB
SB
EB
WB",2013,31700,860023,23500,1
SR 817/University Dr from Orange Dr to SW 30 st.,86220000,"NB
SB
EB
WB",2012,48900,860044,50000,1
SR 25 from N of Griffin Raod (MP 7.297) to S of Pines Blvd (MP 7.297),86060000,"NB
SB
EB
WB",2013,21500,865336,14600,1
SR 869 from Powerline Rd to E Newport Center Dr.,86012000,,2014,47000,863012,40000,1
SR 849 from MP 2.271 to Atlantic Blvd (MP 3.177),86130000,,2012,20100,860060,16400,1
SR 808/Glades Rd from W of Boca Lakes Dr (MP 1.180) to Florida's Turnpike (MP 2.049),93004000,,2013,51000,935341,44500,1
SR 820/Pines Blvd from SW 196th Ave (MP 1.6) to W of I75 (MP 5.39),86040000,,2013,72000,860088,63000,12
SR 820/Pines Blvd from SW 196th Ave (MP 1.6) to W of I75 (MP 5.39),86040000,,2013,50400,860087,46000,12
SR 820/Pines Blvd from SW 196th Ave (MP 1.6) to W of I75 (MP 5.39),86040000,,2013,41500,860207,36500,12
SR 820/Pines Blvd from SW 196th Ave (MP 1.6) to W of I75 (MP 5.39),86040000,,2013,27300,860085,22200,12
SR 870 from University Dr (MP 0.000) to W of NW 64th Ave (MP 0.800),86014000,,2011,56100,860015,48500,12
SR-842 at NW-SW 18 Ave (MP 5.392 to MP 5.398),86006000,,2012,74000,860021,78000,12
SR-870 from White Oak Ln (MP 1.18) to NW 49th (MP 2.33),86014000,,2014,69500,860201,49000,1
SR -848/ Stirling Road West and East of Davie Road,86016000,,2013,43500,860488,36500,12
SR-823 from Griffin Rd to SR 84,86190000,,2015,38800,860082,40200,12
SR 862 I-595 EB Exit Ramp to fort Lauderdale/Hollywood International Airort (MP 0.393 to 1.006) ,86010006,,2012,39500,860415,28000,12
SR-838 at NW 31 Ave (MP 5.003) & NW 27 Ave (MP 5.534),86110000,,2013,55000,860469,50000,12
SR-838 at NW 31 Ave (MP 5.003) & NW 27 Ave (MP 5.534),86110000,,2013,56300,860487,54500,12
SR-848 from NW 58th Ave to NW 68th Ave ,86016000,,2013,43000,860488,36500,12
SR-7 At Riverland Rd. (MP 8.00 to MP 8.52),86100000,,2012,53800,860010,50500,12
SR-9/ I-95 from S. of Linton Blvd to S. of Boyton Beach Blvd (MP 7.600 to MP 14.400),93220000,,2010,197400,930198,173372,12
SR-7 at Southgate Blvd,86100000,,2013,53500,860426,47500,12
SR-9 South of Golf Rd (MP 11.498) to Gateway Blvd (MP 15.174),93220000,,2013,196600,930198,181062,12
SR-76 from East of the Bridge over the South Fork of the St. Lucie River to SW Cabana Point Circle,89060000,,2014,44100,890106,28500,12
SR -808/ Glades Road from SR-7/ US 441 to E of Lyons Road (MP 0.000 to MP 1.180),93004000,,2015,42000,930036,46800,12
SR- 5/ US 1 from SW Mizner Blvd/ SE 5th Street (MP 1.434) to SR-808/ Glades Road (mp 2.691),93010000,,2013,25000,935003,25500,12
SR-510 from US-1 to SR A1A Mill and Resurface,88050000,,2014,16200,880108,11900,12
Kingfisher Boulevard (NW 23 Avenue) from NE 31 Court to NW 32 Court,86230000,,2014,4200,869716,5100,1
SR 812 (Lantana) from Sunset Road to Publix Entrance,93220000,,2014,41600,930076,38500,1
SR A1A from Miami Dade County Line (MP 0.000) to Seacrest Parkway (MP .906) ,86030000,,2014,38000,865044,37500,1
SR 9 (I-95) S and N of SW 10 Street and I-95 Ramps at SW 10 Street ,86070000,N,2015,230500,862506,211100,12
SR 9 (I-95) S and N of SW 10 Street and I-95 Ramps at SW 10 Street ,86070000,,2015,209700,860163,202000,12
SR 9 (I-95) S and N of SW 10 Street and I-95 Ramps at SW 10 Street ,86070000,NB,2015,15400,864080,15900,12
SR 9 (I-95) S and N of SW 10 Street and I-95 Ramps at SW 10 Street ,86070000,NB,2015,13700,864081,18500,3
SR 9 (I-95) S and N of SW 10 Street and I-95 Ramps at SW 10 Street ,86070000,SB,2015,14200,864082,14000,3
SR 9 (I-95) S and N of SW 10 Street and I-95 Ramps at SW 10 Street ,86070000,SB,2015,17900,864083,14700,12
SR 822 (Sheridan Street) from CSX Railroad (MP 2.540) to west of N 26th Avenue (MP 3.012) including NB/SB I-95 Off-Ramps ,86070000, ,2013,51300,865173,46000,1
SR 822 (Sheridan Street) from CSX Railroad (MP 2.540) to west of N 26th Avenue (MP 3.012) including NB/SB I-95 Off-Ramps ,86070000,NB,2013,18500,864012,16000,1
SR 822 (Sheridan Street) from CSX Railroad (MP 2.540) to west of N 26th Avenue (MP 3.012) including NB/SB I-95 Off-Ramps ,86070000,SB,2013,20100,864014,17000,1
SR-848/ Stirling Rd from E. of SR-817/ University Dr to E. of SR-7,86016000,,2015,37000,860028,36200,1
SR-848/ Stirling Rd from E. of SR-817/ University Dr to E. of SR-9,86016000,,2015,43500,860488,45700,1
CR-68/ Orange Ave from Graves Road to SR 713/ Kings Hwy-Loc 1,94070000,,2014,3100,940144,3221,1
CR-68/ Orange Ave from Graves Road to SR 713/ Kings Hwy-Loc 2,94070000,,2014,14000,940144,3221,1
SR 809 Military Trial from Lake Worth Road to South of SR 80 (MP 20.360 to MP 24.200),93070000, ,2015,45800,930722,51000,12
SR-811/ Dixie Hwy from S. of McNab (MP 5.445) to Atlantic Blvd (MP 6.92),86170000,NB,2013,12000,865334,11000,1
SR-811/ Dixie Hwy from S. of McNab (MP 5.445) to Atlantic Blvd (MP 6.92),86170000,,2013,25200,860025,24000,1
SR-811/ Dixie Hwy from S. of McNab (MP 5.445) to Atlantic Blvd (MP 6.92),86170000,SB,2013,12200,865335,9800,1
SR-5 from N. of Midway Rd (8.470) to Edwards Rd (MP 10.780),94010000,,2015,35800,940020,29000,12
SR-5 from N. of Midway Rd (8.470) to Edwards Rd (MP 10.780),94010000,,2015,36700, 940012,30100,12
SR-7 from Holmberg Rd/ Johnson Rd (MP 23.400) to Palm Beach County Line (MP 24.590),86100000,,2013,54300,860005,56500,12
SR-7 from Holmberg Rd/ Johnson Rd (MP 23.400) to Palm Beach County Line (MP 24.590),86100000,,2013,51400, 860123,54005,12
SR-25/ US 27 from (MP 11.916 to MP 16.050),93160000,,2012,9000,930421,7300,1
SR-5/ US-1 from Palm Beach/ Martin County Line (MP 0.000) to (MP 5.030) at the pavement Seam,89010000,,2014,20500,899921,16800,1
SR 5 from South of Kings highway (MP 20.880) to South of Highland Drive (MP .449) ,94010-000,,2014,29500,940107,21500,12
SR-80 from SR-15 (MP 0.000) to rail Road Tracks MP 3.440),93110001,,2015,11800, 930035,13600,1
SR-805 at 12th Avenue South,93050000,,2015,13000,930668,18700,12
SR-5/ US 1 from SR-842/ Broward Blvd (MP 0.000) to NE 17th Way (MP 1.830),86020000,,2014,41500,865157,40500,1
SR-5/ US 1 from SR-842/ Broward Blvd (MP 0.000) to NE 17th Way (MP 1.830),86020000,,2014,60500, 860209,52000,1
SR 858 from E of SR 7 (MP 0.233) to W of Lake Shore Blvd. (MP 2.176),86200-000,,2015,30700,865303,35000,12
SR-715 from W. Canal St. (MP 2.090) to SR-15 (MP 12.070),93290000,S,2015,11000,930078,9900,12
SR-715 from W. Canal St. (MP 2.090) to SR-15 (MP 12.070),93290000,S,2015,8100,930257,5200,12
SR-715 from W. Canal St. (MP 2.090) to SR-15 (MP 12.070),93290000,N,2015,6400,930506,3400,12
SR 817 at Nova Drive (MP 8.129),86220000,,2015,53600,860114,54500,2
SR 845/Powerline Rd. from N of 19th St. (MP 1.250) to NW 29th St. (MP 1.800) ,86065000,,2015,26700,860438,24600,1
SR 818/Griffin Rd. from (MP 6.176) to (MP 6.276),86015000,,2014,33200,860475,32500,1
SR A1A from Meade St. to Oak St.,86030000,,2014,10800,865169,10000,1
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,30900,860429,37000,1
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,16700,865291,16200,1
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,16100,865025,14900,1
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,16300,865290,18200,1
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,15800,865390,16000,1
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,32200,860451,33900,1
SR 810 (Hillsboro Boulevard fro Military Trial to US 1,86120000,,2015,48600,860008,45600,12
SR 810 (Hillsboro Boulevard fro Military Trial to US 2,86120000,,2015,35300,860233,28100,12
SR 812/Hooker Highway from MP 0.00 to MP 0.785,93121000,,2014,6700,930765,3600,1
SR 80/Hooker Highway from Railroad Crossing (MP 3.446) to CR 880 (MP 18.210),93110001,,2015,10500,930764,9300,1
SR 80/Hooker Highway from Railroad Crossing (MP 3.446) to CR 880 (MP 18.210),93110001,,2015,14500,930764,9300,1
SR A1A from NE 14th Court (MP 3.850) to NE 18th Street (MP 4.320),86050000,,2013,30300,860106,19100,1
SR 842 from 24th Ave. to 7th Ave,86006000,,2015,72200,860021,79700,1
SR 842 from 24th Ave. to 7th Ave,86006000,,2015,57900,860200,61900,1
"SR 842 Broward Boulevard/University
Drive",86006000,,2015,57700,860222,45000,2
SR 9/I 95 at 10th St. (MP 23.050),86070000,,2015,231000,862506,211100,3
SR 9/I 95 at 10th St. (MP 23.050),86070000,,2015,210000,860163,224000,3
SR 869/SW 10th St. from Military trail (MP 1.427) to Natura Blvd (MP 2.152),89012000,,2015,52800,863015,52800,5
SR 869/SW 10th St. from Military trail (MP 1.427) to Natura Blvd (MP 2.152),89012000,,2015,33200,860070,27800,5
SR 9/I 95 ramp (MP 0.000) to WB SR 816/Oakland Park Blvd (MP 0.131),86070051,,2015,12200,864550,13600,1
SR CR 611/Jenkins Rd. from 1100' South of SR 70 to 1500' North of SR 70,94631003,,2015,14800,947027,6400,2
SR CR 611/Jenkins Rd. from 1100' South of SR 70 to 1500' North of SR 71,94631003,,2015,11200,940273,8800,2
SR 710/SW Warfield Blvd from FPL Martin Power Plant Access Rd to CR 609/SW Allapattah Rd,89070000,,2015,9300,890030,6600,3
SR-834 at Andrews Ave. Ext/ Military Trail (MP 7.020),86028000,,2015,45400,860255,49300,2
SR 838/Sunrise Blvd from NE 17th Way to NE 20th Ave ,86005000,,2014,5700,869608,4900,12
SR-84 from US-1 (MP 19.721) to S. Miami Rd (MP 19.775),86080000,,2015,21900,865160,24000,1
,,,,,,,
,,,,,,,
