,PID,YearForecastMade,ForecastMethod,OpeningYear,OYADTForecast,DesignYear,DYADTForecast,Notes,NearActualOpenYear,NearOpenYrCount,RecentYr,RecentYrCnt,ActualOpeningYear,TollType,FunctionalClass,Methodology,AreaType,ImpromentType,State,diffPOY_NAOY,diffPOY_RY,diffAOY_RY,diffPOY_AOY,diffAOY_NAOY
133,20424,2004,MR,2004.0,43320.0,2024,61970.0,,2004.0,34150.0,2008.0,31500.0,,1,3.0,6,1.0,1,41,0.0,4.0,,,
134,20424,2004,MR,2004.0,39180.0,2024,64700.0,,2004.0,34150.0,2008.0,31500.0,,1,3.0,6,1.0,1,41,0.0,4.0,,,
135,20424,2004,MR,2004.0,33680.0,2024,58930.0,,2004.0,34150.0,2008.0,31500.0,,1,3.0,6,1.0,1,41,0.0,4.0,,,
136,75395,2006,MR,2004.0,13800.0,2024,14760.0,,2003.0,13710.0,2010.0,12450.0,,1,3.0,6,1.0,1,41,1.0,6.0,,,
140,23823,2002,RC,2005.0,47720.0,2025,67110.0,,2005.0,53130.0,2008.0,46570.0,,1,1.0,6,1.0,3,41,0.0,3.0,,,
141,19971,2002,UNK,2005.0,12140.0,2025,14590.0,,2006.0,9850.0,2009.0,9920.0,,1,3.0,6,1.0,1,41,-1.0,4.0,,,
143,19468,2002,UNK,2005.0,14610.0,2025,18800.0,,2006.0,14470.0,2010.0,12990.0,,1,3.0,6,1.0,12,41,-1.0,5.0,,,
144,19580,2002,RC,2005.0,8100.0,2025,11260.0,,2006.0,7490.0,2010.0,6520.0,,1,3.0,6,1.0,12,41,-1.0,5.0,,,
145,19580,2002,RC,2005.0,13670.0,2025,17990.0,,2006.0,11900.0,2010.0,11170.0,,1,3.0,6,1.0,12,41,-1.0,5.0,,,
146,19580,2002,RC,2005.0,7280.0,2025,8770.0,,2006.0,5200.0,2010.0,5740.0,,1,3.0,6,1.0,12,41,-1.0,5.0,,,
149,25645,2002,UNK,2005.0,1450.0,2025,1730.0,,2006.0,2150.0,2009.0,1680.0,,1,5.0,6,1.0,1,41,-1.0,4.0,,,
170,23104,2003,RC,2005.0,10370.0,2025,12110.0,,2005.0,11810.0,2008.0,12030.0,,1,4.0,6,1.0,1,41,0.0,3.0,,,
181,,2003,MR,2005.0,109490.0,2025,150870.0,,2007.0,103890.0,2010.0,113670.0,,1,1.0,6,1.0,11,41,-2.0,5.0,,,
198,,2003,MR,2005.0,37800.0,2025,47450.0,,2007.0,27710.0,2010.0,26070.0,,1,3.0,6,1.0,11,41,-2.0,5.0,,,
199,22080,2003,UNK,2005.0,19500.0,2025,23300.0,,2005.0,12890.0,2008.0,11820.0,,1,3.0,6,1.0,1,41,0.0,3.0,,,
207,23030,2003,MR,2005.0,30320.0,2025,31670.0,,2005.0,12000.0,2008.0,15110.0,,1,4.0,6,1.0,12,41,0.0,3.0,,,
222,76674,2004,MR,2005.0,88200.0,2025,109500.0,,2007.0,71720.0,2010.0,64800.0,,1,1.0,6,1.0,12,41,-2.0,5.0,,,
223,77326,2004,MR,2005.0,98130.0,2025,120170.0,,2007.0,101530.0,2010.0,101510.0,,1,1.0,6,1.0,11,41,-2.0,5.0,,,
224,77326,2004,MR,2005.0,91420.0,2025,112760.0,,2007.0,95430.0,2010.0,95780.0,,1,1.0,6,1.0,11,41,-2.0,5.0,,,
225,77326,2004,MR,2005.0,96120.0,2025,116980.0,,2007.0,94390.0,2010.0,95500.0,,1,1.0,6,1.0,11,41,-2.0,5.0,,,
233,21509,2004,RC,2005.0,6680.0,2025,8540.0,,2007.0,6180.0,2010.0,6250.0,,1,4.0,6,1.0,1,41,-2.0,5.0,,,
238,79078,2005,MR,2005.0,128560.0,2030,150090.0,,2005.0,148550.0,2009.0,146240.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
239,79078,2005,MR,2005.0,137600.0,2030,158300.0,,2005.0,157580.0,2009.0,155370.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
240,79078,2005,MR,2005.0,126750.0,2030,147910.0,,2005.0,147110.0,2009.0,145600.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
241,79078,2005,MR,2005.0,102000.0,2030,123250.0,,2005.0,120810.0,2009.0,124780.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
242,79078,2005,MR,2005.0,112900.0,2030,134830.0,,2005.0,129960.0,2009.0,133730.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
243,79078,2005,MR,2005.0,124800.0,2030,150810.0,,2005.0,141760.0,2009.0,141560.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
244,79078,2005,MR,2005.0,122080.0,2030,152750.0,,2005.0,137280.0,2009.0,138400.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
245,79078,2005,MR,2005.0,119540.0,2030,165150.0,,2005.0,129690.0,2009.0,129170.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
246,79078,2005,MR,2005.0,119540.0,2030,136250.0,,2005.0,120820.0,2009.0,113490.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
247,79078,2005,MR,2005.0,101600.0,2030,121300.0,,2005.0,104230.0,2009.0,99040.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
253,79078,2005,MR,2005.0,55330.0,2030,62230.0,,2005.0,50240.0,2009.0,48350.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
254,79078,2005,MR,2005.0,25440.0,2030,26590.0,,2005.0,32110.0,2009.0,20100.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
255,79078,2005,MR,2005.0,19910.0,2030,20950.0,,2005.0,19220.0,2009.0,19120.0,,1,3.0,6,1.0,12,41,0.0,4.0,,,
256,79078,2005,MR,2005.0,22260.0,2030,23170.0,,2005.0,26110.0,2009.0,21110.0,,1,3.0,6,1.0,12,41,0.0,4.0,,,
257,79078,2005,MR,2005.0,23140.0,2030,24050.0,,2005.0,26110.0,2009.0,21110.0,,1,3.0,6,1.0,12,41,0.0,4.0,,,
258,79078,2005,MR,2005.0,38340.0,2030,29250.0,,2005.0,26110.0,2009.0,21110.0,,1,3.0,6,1.0,12,41,0.0,4.0,,,
259,79078,2005,MR,2005.0,33800.0,2030,33690.0,,2005.0,30540.0,2009.0,29110.0,,1,3.0,6,1.0,12,41,0.0,4.0,,,
260,79078,2005,MR,2005.0,20570.0,2030,21920.0,,2005.0,30540.0,2009.0,29110.0,,1,3.0,6,1.0,12,41,0.0,4.0,,,
261,79078,2005,MR,2005.0,16740.0,2030,17740.0,,2005.0,21100.0,2009.0,19540.0,,1,3.0,6,1.0,12,41,0.0,4.0,,,
262,79078,2005,MR,2005.0,25200.0,2030,27140.0,,2005.0,12710.0,2009.0,14390.0,,1,3.0,6,1.0,12,41,0.0,4.0,,,
263,79078,2005,MR,2005.0,34880.0,2030,36830.0,,2005.0,25390.0,2009.0,26050.0,,1,3.0,6,1.0,12,41,0.0,4.0,,,
269,22889,2002,UNK,2006.0,55500.0,2026,75360.0,,2006.0,54300.0,2009.0,47940.0,,1,1.0,6,1.0,11,41,0.0,3.0,,,
270,22889,2002,UNK,2006.0,52780.0,2026,72460.0,,2006.0,50960.0,2009.0,46380.0,,1,1.0,6,1.0,11,41,0.0,3.0,,,
285,22010,2003,UNK,2006.0,48690.0,2026,68080.0,,2007.0,49280.0,2007.0,49280.0,,1,1.0,6,1.0,3,41,-1.0,1.0,,,
286,22010,2003,UNK,2006.0,51210.0,2026,73090.0,,2007.0,51100.0,2007.0,51100.0,,1,1.0,6,1.0,3,41,-1.0,1.0,,,
287,22772,2003,UNK,2006.0,40460.0,2026,56350.0,,2006.0,41370.0,2010.0,34550.0,,1,1.0,6,1.0,3,41,0.0,4.0,,,
288,22772,2003,UNK,2006.0,31570.0,2026,45150.0,,2006.0,35140.0,2010.0,28650.0,,1,1.0,6,1.0,3,41,0.0,4.0,,,
290,22772,2003,UNK,2006.0,19920.0,2026,25360.0,,2006.0,14470.0,2010.0,12990.0,,1,3.0,6,1.0,3,41,0.0,4.0,,,
291,22772,2003,UNK,2006.0,22080.0,2026,28100.0,,2006.0,14470.0,2010.0,12990.0,,1,3.0,6,1.0,3,41,0.0,4.0,,,
292,22772,2003,UNK,2006.0,22300.0,2026,28400.0,,2006.0,14470.0,2010.0,12990.0,,1,3.0,6,1.0,3,41,0.0,4.0,,,
293,22010,2003,UNK,2006.0,12300.0,2026,16660.0,,2007.0,13340.0,2011.0,9150.0,,1,4.0,6,1.0,3,41,-1.0,5.0,,,
298,22010,2003,UNK,2006.0,1570.0,2026,1990.0,,2007.0,1420.0,2011.0,1250.0,,1,5.0,6,1.0,3,41,-1.0,5.0,,,
303,75883,2003,MR,2006.0,100630.0,2026,115990.0,,2007.0,97350.0,2010.0,79840.0,,1,1.0,6,1.0,1,41,-1.0,4.0,,,
304,23828,2003,MR,2006.0,105700.0,2026,124400.0,,2006.0,107210.0,2009.0,88050.0,,1,1.0,6,1.0,11,41,0.0,3.0,,,
308,75989,2003,MR,2006.0,69160.0,2026,75940.0,,2005.0,62890.0,2009.0,62920.0,,1,1.0,6,1.0,2,41,1.0,3.0,,,
309,75883,2003,MR,2006.0,11370.0,2026,12250.0,,2007.0,8350.0,2010.0,9250.0,,1,3.0,6,1.0,1,41,-1.0,4.0,,,
310,,2003,UNK,2006.0,7710.0,2026,9150.0,,2007.0,6430.0,2010.0,6000.0,,1,3.0,6,1.0,2,41,-1.0,4.0,,,
311,,2003,UNK,2006.0,13090.0,2026,15560.0,,2007.0,12340.0,2010.0,10320.0,,1,3.0,6,1.0,2,41,-1.0,4.0,,,
312,20082,2003,MR,2006.0,27600.0,2026,28300.0,,2005.0,28450.0,2009.0,26670.0,,1,3.0,6,1.0,12,41,1.0,3.0,,,
313,20082,2003,MR,2006.0,52500.0,2026,53400.0,,2005.0,31610.0,2009.0,36860.0,,1,3.0,6,1.0,12,41,1.0,3.0,,,
316,,2003,UNK,2006.0,6870.0,2026,8180.0,,2007.0,4300.0,2010.0,4610.0,,1,4.0,6,1.0,2,41,-1.0,4.0,,,
320,22010,2003,UNK,2006.0,6200.0,2026,8900.0,,2007.0,4750.0,2007.0,4750.0,,1,5.0,6,1.0,3,41,-1.0,1.0,,,
360,25697,2004,RC,2006.0,9590.0,2018,9700.0,,2005.0,9410.0,2008.0,7750.0,,1,3.0,6,1.0,1,41,1.0,2.0,,,
395,80810,2006,MR,2006.0,38040.0,2026,68800.0,No Build,2006.0,39690.0,2009.0,45720.0,,1,1.0,6,1.0,12,41,0.0,3.0,,,
396,80810,2006,MR,2006.0,35690.0,2026,52410.0,No Build,2006.0,39690.0,2009.0,45720.0,,1,1.0,6,1.0,12,41,0.0,3.0,,,
397,80810,2006,MR,2006.0,35910.0,2026,47890.0,No Build,2006.0,39690.0,2009.0,45720.0,,1,1.0,6,1.0,12,41,0.0,3.0,,,
398,80810,2006,MR,2006.0,55240.0,2026,76760.0,No Build,2006.0,54820.0,2010.0,57240.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
399,80810,2006,MR,2006.0,44570.0,2026,69800.0,No Build,2006.0,42960.0,2010.0,47200.0,,1,1.0,6,1.0,12,41,0.0,4.0,,,
400,80810,2006,MR,2006.0,12290.0,2026,12840.0,No Build,2006.0,11310.0,2010.0,10650.0,,1,4.0,6,1.0,12,41,0.0,4.0,,,
401,80810,2006,MR,2006.0,14120.0,2026,14670.0,No Build,2006.0,11310.0,2010.0,10650.0,,1,4.0,6,1.0,12,41,0.0,4.0,,,
402,80810,2006,MR,2006.0,20000.0,2026,24430.0,No Build,2006.0,18020.0,2010.0,18080.0,,1,4.0,6,1.0,12,41,0.0,4.0,,,
403,80810,2006,MR,2006.0,22140.0,2026,27220.0,No Build,2006.0,18020.0,2010.0,18080.0,,1,4.0,6,1.0,12,41,0.0,4.0,,,
404,80810,2006,MR,2006.0,20050.0,2026,25130.0,No Build,2006.0,18020.0,2010.0,18080.0,,1,4.0,6,1.0,12,41,0.0,4.0,,,
405,80810,2006,MR,2006.0,28010.0,2026,33780.0,No Build,2006.0,18020.0,2010.0,18080.0,,1,4.0,6,1.0,12,41,0.0,4.0,,,
406,80810,2006,MR,2006.0,31820.0,2026,37590.0,No Build,2006.0,22790.0,2010.0,37090.0,,1,4.0,6,1.0,12,41,0.0,4.0,,,
408,20878,2002,MR,2007.0,28270.0,2027,37060.0,,2006.0,33040.0,2010.0,28200.0,,1,3.0,6,1.0,12,41,1.0,3.0,,,
409,20878,2002,MR,2007.0,34880.0,2027,45230.0,,2006.0,33040.0,2010.0,28200.0,,1,3.0,6,1.0,12,41,1.0,3.0,,,
410,20878,2002,MR,2007.0,34810.0,2027,45620.0,,2006.0,33040.0,2010.0,28200.0,,1,3.0,6,1.0,12,41,1.0,3.0,,,
411,20878,2002,MR,2007.0,38470.0,2027,42480.0,,2006.0,33040.0,2010.0,28200.0,,1,3.0,6,1.0,12,41,1.0,3.0,,,
412,20878,2002,MR,2007.0,37700.0,2027,41650.0,,2006.0,27430.0,2010.0,22530.0,,1,3.0,6,1.0,12,41,1.0,3.0,,,
413,20878,2002,MR,2007.0,30690.0,2027,39190.0,,2006.0,27430.0,2010.0,22530.0,,1,3.0,6,1.0,12,41,1.0,3.0,,,
414,20878,2002,MR,2007.0,24520.0,2027,39180.0,,2006.0,18370.0,2010.0,18140.0,,1,3.0,6,1.0,12,41,1.0,3.0,,,
415,20878,2002,MR,2007.0,20900.0,2027,36610.0,,2006.0,13270.0,2010.0,14260.0,,1,4.0,6,1.0,12,41,1.0,3.0,,,
416,20878,2002,MR,2007.0,24490.0,2027,47680.0,,2006.0,26230.0,2010.0,30230.0,,1,4.0,6,1.0,12,41,1.0,3.0,,,
417,20878,2002,MR,2007.0,22820.0,2027,38890.0,,2006.0,26230.0,2010.0,30230.0,,1,4.0,6,1.0,12,41,1.0,3.0,,,
418,20878,2002,MR,2007.0,27960.0,2027,42950.0,,2006.0,26230.0,2010.0,30230.0,,1,4.0,6,1.0,12,41,1.0,3.0,,,
419,20878,2002,MR,2007.0,39090.0,2027,48970.0,,2006.0,40380.0,2010.0,38370.0,,1,4.0,6,1.0,12,41,1.0,3.0,,,
431,,2003,MR,2007.0,38760.0,2027,48600.0,,2006.0,44030.0,2009.0,41610.0,,1,1.0,6,1.0,11,41,1.0,2.0,,,
432,,2003,MR,2007.0,63940.0,2027,77600.0,,2006.0,64190.0,2009.0,66090.0,,1,1.0,6,1.0,11,41,1.0,2.0,,,
433,,2003,MR,2007.0,54300.0,2027,67180.0,,2006.0,55280.0,2009.0,57390.0,,1,1.0,6,1.0,11,41,1.0,2.0,,,
441,25769,2003,UNK,2007.0,8750.0,2027,10550.0,,2006.0,6370.0,2009.0,6040.0,,1,3.0,6,1.0,"1,3",41,1.0,2.0,,,
442,25769,2003,UNK,2007.0,15300.0,2027,17380.0,,2006.0,11810.0,2009.0,11900.0,,1,3.0,6,1.0,"1,3",41,1.0,2.0,,,
443,25769,2003,UNK,2007.0,13600.0,2027,15380.0,,2006.0,13240.0,2009.0,11850.0,,1,3.0,6,1.0,"1,3",41,1.0,2.0,,,
450,25198,2004,UNK,2007.0,13480.0,2027,18460.0,,2006.0,11420.0,2009.0,10510.0,,1,3.0,6,1.0,1,41,1.0,2.0,,,
452,76158,2004,RC,2007.0,1560.0,2027,2030.0,,2006.0,1090.0,2009.0,1240.0,,1,5.0,6,1.0,1,41,1.0,2.0,,,
455,25768,2004,MR,2007.0,24190.0,2027,31200.0,,2007.0,18940.0,2010.0,22630.0,,1,3.0,6,1.0,2,41,0.0,3.0,,,
456,25768,2004,MR,2007.0,29330.0,2027,33390.0,,2007.0,23680.0,2010.0,20100.0,,1,3.0,6,1.0,2,41,0.0,3.0,,,
457,25768,2004,MR,2007.0,23590.0,2027,28220.0,,2007.0,15840.0,2010.0,14220.0,,1,3.0,6,1.0,2,41,0.0,3.0,,,
463,76565,2004,MR,2007.0,24860.0,2027,28050.0,,2007.0,21210.0,2010.0,19410.0,,1,3.0,6,1.0,1,41,0.0,3.0,,,
464,76565,2004,MR,2007.0,18960.0,2027,20750.0,,2007.0,19020.0,2010.0,18220.0,,1,3.0,6,1.0,1,41,0.0,3.0,,,
465,76037,2004,UNK,2007.0,14890.0,2027,20620.0,,2008.0,12740.0,2008.0,12740.0,,1,4.0,6,1.0,3,41,-1.0,1.0,,,
466,76037,2004,UNK,2007.0,17740.0,2027,24730.0,,2008.0,14120.0,2008.0,14120.0,,1,4.0,6,1.0,3,41,-1.0,1.0,,,
467,76037,2004,UNK,2007.0,20890.0,2027,28770.0,,2008.0,12380.0,2008.0,12380.0,,1,4.0,6,1.0,3,41,-1.0,1.0,,,
468,76037,2004,UNK,2007.0,10630.0,2027,14710.0,,2008.0,11010.0,2008.0,11010.0,,1,4.0,6,1.0,3,41,-1.0,1.0,,,
469,76037,2004,UNK,2007.0,12950.0,2027,17470.0,,2008.0,14610.0,2008.0,14610.0,,1,4.0,6,1.0,3,41,-1.0,1.0,,,
470,76037,2004,UNK,2007.0,21770.0,2027,27830.0,,2008.0,27000.0,2008.0,27000.0,,1,4.0,6,1.0,3,41,-1.0,1.0,,,
473,75899,2004,MR,2007.0,21500.0,2027,33070.0,,2007.0,19380.0,2007.0,19380.0,,1,5.0,6,1.0,3,41,0.0,0.0,,,
481,76009,2005,RC,2007.0,3970.0,2018,4620.0,,2006.0,2730.0,2009.0,3310.0,,1,5.0,6,1.0,1,41,1.0,2.0,,,
498,75253,2005,UNK,2007.0,15320.0,2019,17900.0,,2006.0,20780.0,2009.0,22300.0,,1,1.0,6,1.0,1,41,1.0,2.0,,,
513,24247,2005,MR,2007.0,26980.0,2027,29670.0,,2008.0,12360.0,2008.0,12360.0,,1,3.0,6,1.0,3,41,-1.0,1.0,,,
514,24247,2005,MR,2007.0,30400.0,2027,32600.0,,2008.0,22870.0,2008.0,22870.0,,1,3.0,6,1.0,3,41,-1.0,1.0,,,
515,24247,2005,MR,2007.0,27780.0,2027,32890.0,"Forecasts significantly larger than counts, Walmart",2008.0,10800.0,2011.0,10250.0,,1,3.0,6,1.0,3,41,-1.0,4.0,,,
516,24247,2005,MR,2007.0,28890.0,2027,34000.0,"Forecasts significantly larger than counts, Walmart",2008.0,10800.0,2011.0,10250.0,,1,3.0,6,1.0,3,41,-1.0,4.0,,,
517,24247,2005,MR,2007.0,15150.0,2027,16420.0,,2008.0,11560.0,2008.0,11560.0,,1,3.0,6,1.0,3,41,-1.0,1.0,,,
518,77198,2005,UNK,2007.0,22860.0,2027,30200.0,,2007.0,18490.0,2010.0,16040.0,,1,3.0,6,1.0,3,41,0.0,3.0,,,
519,77198,2005,UNK,2007.0,18630.0,2027,23100.0,,2007.0,16870.0,2010.0,16510.0,,1,3.0,6,1.0,3,41,0.0,3.0,,,
520,77198,2005,UNK,2007.0,26360.0,2027,32680.0,,2007.0,15180.0,2010.0,12630.0,,1,3.0,6,1.0,3,41,0.0,3.0,,,
526,21250,2005,MR,2007.0,10798.0,2027,12809.0,,2006.0,9290.0,2010.0,10900.0,,1,4.0,6,1.0,12,41,1.0,3.0,,,
527,14821,2005,MR,2007.0,27650.0,2027,29870.0,,2007.0,30300.0,2010.0,29920.0,,1,4.0,6,1.0,3,41,0.0,3.0,,,
528,14821,2005,MR,2007.0,28830.0,2027,31700.0,,2007.0,39500.0,2010.0,38970.0,,1,4.0,6,1.0,3,41,0.0,3.0,,,
579,X,2006,RC,2007.0,12160.0,2027,13780.0,,2006.0,9740.0,2009.0,8580.0,,1,3.0,6,1.0,2,41,1.0,2.0,,,
584,80491,2006,MR,2007.0,20620.0,2027,20620.0,,2007.0,22350.0,2010.0,18140.0,,1,3.0,6,1.0,2,41,0.0,3.0,,,
585,80491,2006,MR,2007.0,17180.0,2027,17610.0,,2007.0,22350.0,2010.0,18140.0,,1,3.0,6,1.0,2,41,0.0,3.0,,,
592,77975,2006,MR,2007.0,10430.0,2027,12520.0,,2007.0,10100.0,2010.0,9640.0,,1,3.0,6,1.0,1,41,0.0,3.0,,,
606,77244,2007,MR,2007.0,50320.0,2027,70460.0,,2007.0,35540.0,2010.0,40400.0,,1,1.0,6,1.0,2,41,0.0,3.0,,,
607,77244,2007,MR,2007.0,43340.0,2027,62500.0,,2007.0,28170.0,2010.0,33950.0,,1,1.0,6,1.0,2,41,0.0,3.0,,,
608,81137,2007,MR,2007.0,14500.0,2027,17300.0,,2007.0,14030.0,2010.0,13570.0,,1,3.0,6,1.0,2,41,0.0,3.0,,,
611,21936,2007,UNK,2007.0,30220.0,2027,32700.0,,2008.0,26430.0,2008.0,26430.0,,1,3.0,6,1.0,1,41,-1.0,1.0,,,
612,81137,2007,MR,2007.0,9900.0,2027,13800.0,,2007.0,10180.0,2010.0,9430.0,,1,4.0,6,1.0,2,41,0.0,3.0,,,
613,81137,2007,MR,2007.0,6100.0,2027,77000.0,,2007.0,5010.0,2010.0,4580.0,,1,4.0,6,1.0,2,41,0.0,3.0,,,
614,23109,2003,RC,2008.0,5420.0,2028,8000.0,,2009.0,2990.0,2009.0,2990.0,,1,3.0,6,1.0,1,41,-1.0,1.0,,,
615,20879,2003,MR,2008.0,14970.0,2028,18640.0,,2006.0,14170.0,2010.0,14020.0,,1,4.0,6,1.0,1,41,2.0,2.0,,,
616,20879,2003,MR,2008.0,6060.0,2028,12990.0,,2006.0,4410.0,2010.0,4070.0,,1,4.0,6,1.0,1,41,2.0,2.0,,,
619,75472,2004,UNK,2008.0,20850.0,2028,25680.0,Different log point used,2007.0,9360.0,2007.0,9360.0,,1,3.0,6,1.0,3,41,1.0,-1.0,,,
628,77242,2004,MR,2008.0,83320.0,2028,91330.0,NB,2007.0,85300.0,2010.0,65300.0,,1,1.0,6,1.0,11,41,1.0,2.0,,,
629,77242,2004,MR,2008.0,76990.0,2028,83940.0,NB,2007.0,79960.0,2010.0,63710.0,,1,1.0,6,1.0,11,41,1.0,2.0,,,
630,77242,2004,MR,2008.0,69570.0,2028,75780.0,NB,2007.0,72550.0,2010.0,56200.0,,1,1.0,6,1.0,11,41,1.0,2.0,,,
631,77242,2004,MR,2008.0,73710.0,2028,75510.0,NB,2007.0,79310.0,2010.0,63540.0,,1,1.0,6,1.0,11,41,1.0,2.0,,,
632,77242,2004,MR,2008.0,94980.0,2028,95880.0,NB,2007.0,97350.0,2010.0,79840.0,,1,1.0,6,1.0,11,41,1.0,2.0,,,
633,77242,2004,MR,2008.0,99950.0,2028,99440.0,NB,2007.0,102780.0,2010.0,84460.0,,1,1.0,6,1.0,11,41,1.0,2.0,,,
634,77242,2004,MR,2008.0,96610.0,2028,96710.0,NB,2007.0,100760.0,2010.0,82670.0,,1,1.0,6,1.0,11,41,1.0,2.0,,,
