,PID,YearForecastMade,ForecastMethod,OpeningYear,OYADTForecast,DesignYear,DYADTForecast,Notes,NearActualOpenYear,NearOpenYrCount,RecentYr,RecentYrCnt,ActualOpeningYear,TollType,FunctionalClass,Methodology,AreaType,ImpromentType,State,diffPOY_NAOY,diffPOY_RY,diffPOY_AOY,diffAOY_NAOY,diffAOY_RY
2506,83883,2012,UNK,2013.0,148000.0,2035,194000.0,,2013.0,145111.0,,,2013.0,1,1.0,6,1.0,12,41,0.0,,0.0,0.0,
2507,83883,2012,UNK,2013.0,130000.0,2035,182000.0,,2013.0,139399.0,,,2013.0,1,1.0,6,1.0,12,41,0.0,,0.0,0.0,
2508,83883,2012,UNK,2013.0,135000.0,2035,141000.0,,2013.0,137397.0,,,2013.0,1,1.0,6,1.0,12,41,0.0,,0.0,0.0,
2520,91527,2012,UNK,2013.0,11000.0,2025,12000.0,,2013.0,10641.0,,,2013.0,1,3.0,6,1.0,12,41,0.0,,0.0,0.0,
2533,83883,2012,UNK,2013.0,19000.0,2035,26000.0,,2013.0,4833.0,,,2013.0,1,4.0,6,1.0,12,41,0.0,,0.0,0.0,
2555,84750,2013,UNK,2013.0,5600.0,2025,5800.0,,2013.0,5680.0,,,2013.0,1,3.0,6,1.0,12,41,0.0,,0.0,0.0,
2602,88768,2013,UNK,2013.0,2300.0,2033,2300.0,,2013.0,2370.0,,,2013.0,1,5.0,6,1.0,12,41,0.0,,0.0,0.0,
2606,80122,2013,UNK,2013.0,1700.0,2033,2100.0,,2013.0,1900.0,,,2013.0,1,5.0,6,1.0,12,41,0.0,,0.0,0.0,
2620,79400,2013,UNK,2013.0,13000.0,2033,14000.0,,2013.0,11350.0,,,2013.0,1,3.0,6,1.0,12,41,0.0,,0.0,0.0,
2621,84750,2013,UNK,2013.0,9600.0,2025,11000.0,,2013.0,10440.0,,,2013.0,1,3.0,6,1.0,12,41,0.0,,0.0,0.0,
2756,91451,2012,UNK,2014.0,2800.0,2026,2900.0,,2015.0,2439.0,,,2013.0,1,3.0,6,1.0,12,41,-1.0,,1.0,-2.0,
2767,87093,2012,UNK,2014.0,9040.0,2026,9780.0,,2015.0,7631.0,,,2014.0,1,5.0,6,1.0,1,41,-1.0,,0.0,-1.0,
2768,87093,2012,UNK,2014.0,6490.0,2026,7100.0,,2015.0,4891.0,,,2014.0,1,5.0,6,1.0,1,41,-1.0,,0.0,-1.0,
2784,94893,2012,UNK,2014.0,640.0,2026,840.0,,2015.0,488.0,,,2013.0,1,5.0,6,1.0,12,41,-1.0,,1.0,-2.0,
2785,82838,2012,UNK,2014.0,550.0,2026,550.0,,2015.0,446.0,,,2013.0,1,5.0,6,1.0,12,41,-1.0,,1.0,-2.0,
2786,16987,2012,UNK,2014.0,1900.0,2026,1900.0,,2015.0,2100.0,,,2013.0,1,5.0,6,1.0,12,41,-1.0,,1.0,-2.0,
2796,83709,2012,UNK,2014.0,5200.0,2026,5200.0,,2013.0,2510.0,,,2013.0,1,5.0,6,1.0,12,41,1.0,,1.0,0.0,
2797,83709,2012,UNK,2014.0,2400.0,2026,2400.0,,2013.0,2510.0,,,2013.0,1,5.0,6,1.0,12,41,1.0,,1.0,0.0,
2799,82826,2012,UNK,2014.0,250.0,2026,260.0,,2013.0,250.0,,,2013.0,1,5.0,6,1.0,12,41,1.0,,1.0,0.0,
2802,92917,2012,UNK,2014.0,13000.0,2034,16000.0,,2014.0,12400.0,,,2014.0,1,5.0,6,1.0,12,41,0.0,,0.0,0.0,
2805,92406,2012,UNK,2014.0,1700.0,2026,1900.0,,2014.0,530.0,,,2014.0,1,5.0,6,1.0,12,41,0.0,,0.0,0.0,
2807,83827,2012,UNK,2014.0,930.0,2026,960.0,,2014.0,1190.0,,,2013.0,1,5.0,6,1.0,12,41,0.0,,1.0,-1.0,
2841,79357,2012,UNK,2014.0,47000.0,2026,52000.0,,2013.0,17077.0,,,2010.0,1,3.0,6,1.0,12,41,1.0,,4.0,-3.0,
2892,90540,2013,UNK,2014.0,2600.0,2034,3100.0,,2014.0,2730.0,,,2014.0,1,3.0,6,1.0,12,41,0.0,,0.0,0.0,
2904,97207,2013,UNK,2014.0,6700.0,2034,8400.0,Functional Class unreliable,2014.0,5850.0,,,2014.0,1,3.0,6,1.0,12,41,0.0,,0.0,0.0,
2929,93183,2013,UNK,2014.0,3000.0,2034,3800.0,Functional Class unreliable,2013.0,2590.0,,,2014.0,1,4.0,6,1.0,12,41,1.0,,0.0,1.0,
2941,93258,2013,UNK,2014.0,1700.0,2034,1800.0,Functional Class unreliable,2013.0,2050.0,,,2014.0,1,5.0,6,1.0,12,41,1.0,,0.0,1.0,
2942,93183,2013,UNK,2014.0,3000.0,2034,3000.0,Functional Class unreliable,2013.0,2410.0,,,2014.0,1,5.0,6,1.0,12,41,1.0,,0.0,1.0,
2972,95064,2013,UNK,2014.0,33000.0,2034,38000.0,,2015.0,34651.0,,,2013.0,1,3.0,6,1.0,12,41,-1.0,,1.0,-2.0,
2973,95064,2013,UNK,2014.0,34000.0,2034,42000.0,,2015.0,31041.0,,,2013.0,1,3.0,6,1.0,12,41,-1.0,,1.0,-2.0,
