"Segment/
Intersection",Roadway ID,Intersection Approach,ForecastYear,AADT,StationID,Actual AADT,Improvement Type,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
SR-805 at 12th Avenue South,93050000,,2015,13000,930668,18700,12,14100,14300,14900,15100,16300,14100,13700,11100,10700,11900,12400,12500,13000,16900
SR-5/ US 1 from SR-842/ Broward Blvd (MP 0.000) to NE 17th Way (MP 1.830),86020000,,2014,41500,865157,40500,1,45500,44000,42000,41000,40000,41000,43000,40500,35500,33500,38500,40000,40500,37000
SR-5/ US 1 from SR-842/ Broward Blvd (MP 0.000) to NE 17th Way (MP 1.830),86020000,,2014,60500,860209,52000,1,54000,57000,59000,59500,60000,57500,60000,55000,59500,55500,47500,55500,52000,52000
SR 858 from E of SR 7 (MP 0.233) to W of Lake Shore Blvd. (MP 2.176),86200-000,,2015,30700,865303,35000,12,34500,34000,31000,32500,30500,34500,27500,28000,28500,29000,31000,31000,31000,32500
SR-715 from W. Canal St. (MP 2.090) to SR-15 (MP 12.070),93290000,S,2015,11000,930078,9900,12,10200,10900,10600,10500,11400,11300,9700,10900,9500,9900,9700,9600,9600,10000
SR-715 from W. Canal St. (MP 2.090) to SR-15 (MP 12.070),93290000,S,2015,8100,930257,5200,12,7200,6963,7445,8755,8766,6364,5849,5976,5839,5411,5292,5254,5219,5299
SR-715 from W. Canal St. (MP 2.090) to SR-15 (MP 12.070),93290000,N,2015,6400,930506,3400,12,5900,6400,6700,6900,9400,5300,6500,3700,3700,3000,3200,3200,3100,3300
SR 817 at Nova Drive (MP 8.129),86220000,,2015,53600,860114,54500,2,54000,52500,52500,50500,53500,50000,50000,52500,54000,54500,56000,47500,52500,50500
SR 845/Powerline Rd. from N of 19th St. (MP 1.250) to NW 29th St. (MP 1.800) ,86065000,,2015,26700,860438,24600,1,29000,27000,26000,27000,26000,25000,22000,23500,26000,24000,23000,25500,24000,23500
SR 818/Griffin Rd. from (MP 6.176) to (MP 6.276),86015000,,2014,33200,860475,32500,1,22000,26000,27500,27500,30000,30000,28000,28000,30500,30000,34000,35000,32500,34500
SR A1A from Meade St. to Oak St.,86030000,,2014,10800,865169,10000,1,11400,10400,10600,11000,11100,11600,11600,12000,10100,11500,10300,10300,10000,10300
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,30900,860429,37000,1,40000,34500,32500,33500,28000,28000,36500,29000,26500,30000,31500,28500,29000,34500
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,16700,865291,16200,1,19500,20000,19500,17500,16500,19000,19500,18000,13000,15500,14000,12000,13500,14500
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,16100,865025,14900,1,19000,20500,20000,19500,18500,17500,16500,15500,13000,13000,12500,13000,14000,13500
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,16300,865290,18200,1,20000,18500,19500,19000,16000,18000,17000,18000,14000,14000,13000,17000,12500,16500
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,15800,865390,16000,1,17500,15500,16000,17000,15500,18000,19000,15500,15500,14000,14500,14500,13500,14500
SR A1A FROM Mercedes River Small (MP 0.750) to Sunrise Blvd. (MP 0.969),86050000,,2015,32200,860451,33900,1,35000,35000,36500,35000,34000,31500,29500,30500,28500,27500,29500,31000,28000,30500
SR 810 (Hillsboro Boulevard fro Military Trial to US 1,86120000,,2015,48600,860008,45600,12,60500,63000,58500,59500,59500,50500,49500,52500,47500,53500,55500,55500,51000,51000
SR 810 (Hillsboro Boulevard fro Military Trial to US 2,86120000,,2015,35300,860233,28100,12,35000,36500,38000,38500,34000,36000,38500,35000,34500,32000,36500,31500,27000,29000
SR 812/Hooker Highway from MP 0.00 to MP 0.785,93121000,,2014,6700,930765,3600,1,,,,,3300,3300,4000,4200,4100,4900,4200,4500,3600,4100
SR 80/Hooker Highway from Railroad Crossing (MP 3.446) to CR 880 (MP 18.210),93110001,,2015,10500,930764,9300,1,7700,7900,8200,8500,8700,8500,8800,8500,11600,7700,8500,10200,8800,9000
SR 80/Hooker Highway from Railroad Crossing (MP 3.446) to CR 880 (MP 18.210),93110001,,2015,14500,930764,9300,1,7700,7900,8200,8500,8700,8500,8800,8500,11600,7700,8500,10200,8800,9000
SR A1A from NE 14th Court (MP 3.850) to NE 18th Street (MP 4.320),86050000,,2013,30300,860106,19100,1,33500,35000,32500,32500,28500,28500,29500,32000,25500,26000,27500,19100,18900,22000
SR 842 from 24th Ave. to 7th Ave,86006000,,2015,57900,860200,61900,1,55000,58500,56500,56500,58500,60500,60500,55000,50500,57000,56500,51000,59000,59000
"SR 842 Broward Boulevard/University
Drive",86006000,,2015,57700,860222,45000,2,57530,61120,61877,64500,67000,56877,55539,55337,57676,57842,56921,57385,56604,57500
SR 869/SW 10th St. from Military trail (MP 1.427) to Natura Blvd (MP 2.152),89012000,,2015,52800,863015,52800,5,50500,50500,51000,48500,46500,52500,44500,50500,49500,48000,48500,51000,56500,54500
SR 869/SW 10th St. from Military trail (MP 1.427) to Natura Blvd (MP 2.152),89012000,,2015,33200,860070,27800,5,28000,28500,27500,27500,29000,29000,32500,28000,28000,27000,26500,26500,25500,28000
SR 9/I 95 ramp (MP 0.000) to WB SR 816/Oakland Park Blvd (MP 0.131),86070051,,2015,12200,864550,13600,1,,9600,,,,,,12500,12500,10500,10500,10500,10500,13000
SR CR 611/Jenkins Rd. from 1100' South of SR 70 to 1500' North of SR 70,94631003,,2015,14800,947027,6400,2,,,,,,,,6500,6500,6400,6400,7300,7300,7300
SR CR 611/Jenkins Rd. from 1100' South of SR 70 to 1500' North of SR 71,94631003,,2015,11200,940273,8800,2,,,,,,,9100,8500,7100,7100,7100,9600,9600,9600
SR 710/SW Warfield Blvd from FPL Martin Power Plant Access Rd to CR 609/SW Allapattah Rd,89070000,,2015,9300,890030,6600,3,7500,7700,7800,7500,7800,9600,8200,9400,6900,8700,7100,7100,6600,7100
SR-834 at Andrews Ave. Ext/ Military Trail (MP 7.020),86028000,,2015,45400,860255,49300,2,,35387,37143,50665,49621,47314,46077,44566,44520,44483,44141,44144,44453,45693
