,InternalProjectID_x,AverageCount,AverageForecast,Error,AbsError,PercentError,AbsPE,ImprovementType,YearForecastProduced,ForecastYear,State,Year_ofObservation,Decade_Count,Decade_ForecastProduced,Decade_Opening,Diff_Year,ForecastHorizon,InternalProjectID_y,FunctionalClass
12,16964,67020.0,62530.0,4490.0,4490.0,7.180553334,7.180553334,12.0,2002.0,2003.0,OH,2003.0,4,5,2002-2008,1.0,1,16669,1
13,16987,2100.0,1900.0,200.0,200.0,10.52631579,10.52631579,12.0,2012.0,2014.0,OH,2015.0,6,5,After 2012,2.0,2,1693,3
14,1745,3178.333333,3329.166667,-150.83333330000002,150.83333330000002,-4.530663328999999,4.530663328999999,12.0,2007.0,2009.0,WI,2009.0,5,5,2008-2012,2.0,2,16964,1
15,1760,6460.0,8310.0,-1850.0,1850.0,-22.26233454,22.26233454,12.0,2007.0,2011.0,WI,2011.0,5,5,2008-2012,4.0,4,16987,5
16,18221,7760.0,9880.0,-2120.0,2120.0,-21.45748988,21.45748988,1.0,2009.0,2010.0,OH,2009.0,5,5,2008-2012,1.0,1,1745,4
17,18232,8020.0,6617.0,1403.0,1403.0,21.20296207,21.20296207,1.0,2008.0,2010.0,OH,2008.0,4,5,2008-2012,2.0,2,1745,5
18,18239,15180.0,14348.5,831.5,831.5,5.795030839,5.795030839,12.0,2004.0,2006.0,OH,2007.0,4,5,2002-2008,2.0,2,1745,6
19,18241,22520.0,25350.25,-2830.25,2830.25,-11.16458418,11.16458418,1.0,2009.0,2010.0,OH,2009.0,5,5,2008-2012,1.0,1,1760,3
20,18242,21435.0,24301.0,-2866.0,2866.0,-11.79375334,11.79375334,1.0,2009.0,2010.0,OH,2009.0,5,5,2008-2012,1.0,1,18221,3
21,18296,22230.0,30520.0,-8290.0,8290.0,-27.16251638,27.16251638,1.0,2005.0,2007.0,OH,2010.0,5,5,2002-2008,2.0,2,18232,5
22,18604,4620.0,7151.67,-2531.67,2531.67,-35.39970385,35.39970385,1.0,2005.0,2007.0,OH,2009.0,5,5,2002-2008,2.0,2,18239,4
23,18624,875.0,1117.5,-242.5,242.5,-21.70022371,21.70022371,1.0,2006.0,2008.0,OH,2010.0,5,5,2002-2008,2.0,2,18241,1
24,18629,4030.0,5124.047143,-1094.047143,1094.047143,-21.35123102,21.35123102,1.0,2006.0,2008.0,OH,2009.714286,5,5,2002-2008,2.0,2,18241,5
25,18630,9140.0,12087.5,-2947.5,2947.5,-24.38469493,24.38469493,1.0,2005.0,2007.0,OH,2008.0,4,5,2002-2008,2.0,2,18242,1
26,1864,1300.0,2900.0,-1600.0,1600.0,-55.17241379,55.17241379,12.0,2005.0,2008.0,WI,2008.0,4,5,2002-2008,3.0,3,18242,5
27,18702,103690.0,90623.0,13067.0,13067.0,14.41907683,14.41907683,12.0,2004.0,2005.0,OH,2007.0,4,5,2002-2008,1.0,1,18296,1
28,18741,6750.0,7045.0,-295.0,295.0,-4.187366927,4.187366927,2.0,2010.0,2014.0,OH,2010.0,5,5,After 2012,4.0,4,18604,3
29,1905,5700.0,6350.0,-650.0,650.0,-10.23622047,10.23622047,12.0,2005.0,2006.0,WI,2006.0,4,5,2002-2008,1.0,1,18624,5
30,1929,13817.3913,16991.30435,-3173.913043,3173.913043,-18.67963153,18.67963153,12.0,2005.0,2009.0,WI,2009.0,5,5,2008-2012,4.0,4,18629,3
31,1939,32600.0,37200.0,-4600.0,4600.0,-12.3655914,12.3655914,12.0,2005.0,2010.0,WI,2010.0,5,5,2008-2012,5.0,5,18629,5
32,19468,12990.0,15657.5,-2667.5,2667.5,-17.03656395,17.03656395,12.0,2002.0,2005.0,OH,2010.0,5,5,2002-2008,3.0,3,18630,3
33,19503,14545.0,15840.0,-1295.0,1295.0,-8.175505051,8.175505051,1.0,2003.0,2005.0,OH,2005.0,4,5,2002-2008,2.0,2,1864,4
34,19567,4390.0,6120.0,-1730.0,1730.0,-28.26797386,28.26797386,1.0,2007.0,2009.0,OH,2009.0,5,5,2008-2012,2.0,2,18702,1
35,19571,1000.0,1367.0,-367.0,367.0,-26.84711046,26.84711046,1.0,2009.0,2010.0,OH,2009.0,5,5,2008-2012,1.0,1,18741,1
36,19578,10890.0,14509.583330000001,-3619.583333,3619.583333,-24.94615628,24.94615628,12.0,1999.0,2003.0,OH,2010.0,5,3,2002-2008,4.0,4,18741,4
37,19580,7810.0,10430.83333,-2620.833333,2620.833333,-25.12582887,25.12582887,12.0,2002.0,2005.0,OH,2010.0,5,5,2002-2008,3.0,3,1905,3
38,19585,52020.0,56244.0,-4224.0,4224.0,-7.5101344139999995,7.5101344139999995,1.0,2008.0,2010.0,OH,2008.0,4,5,2008-2012,2.0,2,1905,5
39,1959,10512.5,14187.5,-3675.0,3675.0,-25.9030837,25.9030837,12.0,2006.0,2008.0,WI,2008.0,4,5,2002-2008,2.0,2,1929,3
40,19601,1470.0,1488.5,-18.5,18.5,-1.242861942,1.242861942,1.0,2009.0,2010.0,OH,2009.0,5,5,2008-2012,1.0,1,1929,8
41,1965,6900.0,7780.0,-880.0,880.0,-11.31105398,11.31105398,12.0,2005.0,2006.0,WI,2006.0,4,5,2002-2008,1.0,1,1939,1
42,19654,6010.0,6340.0,-330.0,330.0,-5.205047319,5.205047319,1.0,2010.0,2012.0,OH,2012.0,5,5,2008-2012,2.0,2,19468,3
43,1986,4800.0,4375.0,425.0,425.0,9.714285713999999,9.714285713999999,12.0,2007.0,2011.0,WI,2011.0,5,5,2008-2012,4.0,4,19503,1
44,1990,14400.0,20025.0,-5625.0,5625.0,-28.08988764,28.08988764,12.0,2005.0,2010.0,WI,2010.0,5,5,2008-2012,5.0,5,19503,3
45,19932,41700.0,39760.0,1940.0,1940.0,4.879275654,4.879275654,12.0,2002.0,2005.0,OH,2010.0,5,5,2002-2008,3.0,3,19567,3
46,19971,9920.0,12630.0,-2710.0,2710.0,-21.45684877,21.45684877,1.0,2002.0,2005.0,OH,2009.0,5,5,2002-2008,3.0,3,19571,5
47,20-Year Plan For District 9,48875.0,47904.875,970.125,970.125,2.025107048,2.025107048,12.0,1989.0,2010.0,MN,2010.0,5,2,2008-2012,21.0,6,19578,1
48,2004,6500.0,7400.0,-900.0,900.0,-12.16216216,12.16216216,12.0,2005.0,2006.0,WI,2006.0,4,5,2002-2008,1.0,1,19578,4
49,2005,6733.333333,6966.666667,-233.33333330000002,233.33333330000002,-3.349282297,3.349282297,12.0,2005.0,2006.0,WI,2006.0,4,5,2002-2008,1.0,1,19578,5
50,2006,2650.0,2900.0,-250.0,250.0,-8.620689655,8.620689655,12.0,2005.0,2006.0,WI,2006.0,4,5,2002-2008,1.0,1,19580,3
51,20082,31765.0,40170.0,-8405.0,8405.0,-20.92357481,20.92357481,12.0,2003.0,2006.0,OH,2009.0,5,5,2002-2008,3.0,3,19585,1
52,2015,15200.0,18866.66667,-3666.666667,3666.666667,-19.43462898,19.43462898,12.0,2005.0,2007.0,WI,2007.0,4,5,2002-2008,2.0,2,1959,4
53,2017,30800.0,36400.0,-5600.0,5600.0,-15.38461538,15.38461538,12.0,2005.0,2008.0,WI,2008.0,4,5,2002-2008,3.0,3,19601,5
54,20233,8420.0,12920.0,-4500.0,4500.0,-34.82972136,34.82972136,1.0,2006.0,2009.0,OH,2009.0,5,5,2008-2012,3.0,3,1965,3
55,20236,23592.5,25893.0,-2300.5,2300.5,-8.884640636,8.884640636,11.0,2004.0,2004.0,OH,2006.0,4,5,2002-2008,0.0,0,1965,4
56,2035,12500.0,15000.0,-2500.0,2500.0,-16.66666667,16.66666667,12.0,2005.0,2006.0,WI,2006.0,4,5,2002-2008,1.0,1,19654,4
57,20424,32848.57143,45045.14286,-12196.57143,12196.57143,-27.07632978,27.07632978,1.0,2004.0,2004.0,OH,2008.0,4,5,2002-2008,0.0,0,1986,4
58,2064,12900.0,14200.0,-1300.0,1300.0,-9.154929577,9.154929577,12.0,2005.0,2006.0,WI,2006.0,4,5,2002-2008,1.0,1,1990,3
59,2084,2575.0,1350.0,1225.0,1225.0,90.74074074,90.74074074,12.0,2005.0,2011.0,WI,2011.0,5,5,2008-2012,6.0,6,19932,1
60,20874,550.0,299.0,251.0,251.0,83.94648829,83.94648829,1.0,2009.0,2011.0,OH,2009.0,5,5,2008-2012,2.0,2,19971,3
61,20878,26610.0,32144.70833,-5534.708333,5534.708333,-17.21810096,17.21810096,12.0,2002.0,2007.0,OH,2010.0,5,5,2002-2008,5.0,5,20-Year Plan For District 9,8
62,20879,9045.0,11045.0,-2000.0,2000.0,-18.10774106,18.10774106,1.0,2003.0,2008.0,OH,2010.0,5,5,2002-2008,5.0,5,2004,3
63,20981,7910.0,13320.0,-5410.0,5410.0,-40.61561562,40.61561562,1.0,2006.0,2008.0,OH,2008.0,4,5,2002-2008,2.0,2,2005,3
64,21075,3060.0,4821.0,-1761.0,1761.0,-36.52769135,36.52769135,12.0,2005.0,2006.0,OH,2008.0,4,5,2002-2008,1.0,1,2006,4
65,21147,8670.0,14284.0,-5614.0,5614.0,-39.30271633,39.30271633,1.0,2007.0,2010.0,OH,2008.0,4,5,2008-2012,3.0,3,20082,3
66,21177,23070.0,41694.5,-18624.5,18624.5,-44.66896113,44.66896113,1.0,2008.0,2010.0,OH,2009.0,5,5,2008-2012,2.0,2,2015,4
67,21250,10900.0,11099.65,-199.65,199.65,-1.798705365,1.798705365,12.0,2005.0,2007.0,OH,2010.0,5,5,2002-2008,2.0,2,2017,1
68,2126,2630.0,2420.0,210.0,210.0,8.67768595,8.67768595,12.0,2006.0,2007.0,WI,2007.0,4,5,2002-2008,1.0,1,20233,3
69,2137,38900.0,36362.5,2537.5,2537.5,6.978343073,6.978343073,12.0,2006.0,2009.0,WI,2009.0,5,5,2008-2012,3.0,3,20236,1
70,2138,6533.333333,8233.333333,-1700.0,1700.0,-20.64777328,20.64777328,12.0,2007.0,2010.0,WI,2010.0,5,5,2008-2012,3.0,3,20236,5
71,21453,18505.0,22254.165,-3749.165,3749.165,-16.84702616,16.84702616,1.0,2002.0,2004.0,OH,2005.0,4,5,2002-2008,2.0,2,2035,4
72,2148,10400.0,12800.0,-2400.0,2400.0,-18.75,18.75,12.0,2006.0,2006.0,WI,2006.0,4,5,2002-2008,0.0,0,20383,5
73,21509,6250.0,7145.0,-895.0,895.0,-12.52624213,12.52624213,1.0,2004.0,2005.0,OH,2010.0,5,5,2002-2008,1.0,1,20424,3
74,2154,1395.0,1770.0,-375.0,375.0,-21.18644068,21.18644068,12.0,2006.0,2010.0,WI,2010.0,5,5,2008-2012,4.0,4,2064,3
75,2156,2900.0,3000.0,-100.0,100.0,-3.333333333,3.333333333,12.0,2006.0,2006.0,WI,2006.0,4,5,2002-2008,0.0,0,2084,4
76,21582,6090.0,6598.33,-508.33,508.33,-7.703919022000001,7.703919022000001,1.0,2002.0,2004.0,OH,2005.0,4,5,2002-2008,2.0,2,20874,5
77,21583,41370.0,41340.0,30.0,30.0,0.07256894,0.07256894,1.0,2005.0,2006.0,OH,2006.0,4,5,2002-2008,1.0,1,20878,3
78,2159,5976.666667,8371.666667,-2395.0,2395.0,-28.60840135,28.60840135,12.0,2007.0,2011.0,WI,2011.0,5,5,2008-2012,4.0,4,20878,4
79,21616,31660.0,37945.0,-6285.0,6285.0,-16.56344709,16.56344709,1.0,2005.0,2007.0,OH,2007.0,4,5,2002-2008,2.0,2,20879,4
80,21785,12810.0,14378.0,-1568.0,1568.0,-10.90555015,10.90555015,12.0,2003.0,2005.0,OH,2007.0,4,5,2002-2008,2.0,2,20981,4
81,2187,1800.0,1700.0,100.0,100.0,5.882352941000001,5.882352941000001,12.0,2006.0,2009.0,WI,2009.0,5,5,2008-2012,3.0,3,20996,1
82,2191,1800.0,2800.0,-1000.0,1000.0,-35.71428571,35.71428571,12.0,2007.0,2008.0,WI,2008.0,4,5,2002-2008,1.0,1,21075,5
83,21927,15003.333330000001,17408.33333,-2405.0,2405.0,-13.81522259,13.81522259,11.0,2005.0,2010.0,OH,2010.0,5,5,2008-2012,5.0,5,21147,3
84,21938,13445.0,16154.5,-2709.5,2709.5,-16.77241635,16.77241635,1.0,2002.0,2004.0,OH,2007.0,4,5,2002-2008,2.0,2,21177,1
85,2197,1200.0,1500.0,-300.0,300.0,-20.0,20.0,12.0,2006.0,2008.0,WI,2008.0,4,5,2002-2008,2.0,2,21250,4
86,2198,18100.0,20500.0,-2400.0,2400.0,-11.70731707,11.70731707,12.0,2006.0,2007.0,WI,2007.0,4,5,2002-2008,1.0,1,2126,3
87,22010,5200.0,7532.5,-2332.5,2332.5,-30.9658148,30.9658148,3.0,2003.0,2006.0,OH,2011.0,5,5,2002-2008,3.0,3,2126,8
88,2204,9537.5,9937.5,-400.0,400.0,-4.025157233,4.025157233,12.0,2007.0,2011.0,WI,2011.0,5,5,2008-2012,4.0,4,2137,3
89,22080,11820.0,20070.0,-8250.0,8250.0,-41.10612855,41.10612855,1.0,2003.0,2005.0,OH,2008.0,4,5,2002-2008,2.0,2,2138,3
90,2209,3434.0,3742.0,-308.0,308.0,-8.230892571,8.230892571,12.0,2006.0,2009.0,WI,2009.0,5,5,2008-2012,3.0,3,21453,1
91,2214,8028.5714290000005,6314.285714,1714.285714,1714.285714,27.14932127,27.14932127,12.0,2006.0,2006.0,WI,2006.0,4,5,2002-2008,0.0,0,2148,3
92,2217,5700.0,6250.0,-550.0,550.0,-8.8,8.8,12.0,2006.0,2008.0,WI,2008.0,4,5,2002-2008,2.0,2,21509,4
93,22179,47736.66667,51026.0,-3289.333333,3289.333333,-6.446386809,6.446386809,12.0,2002.0,2004.0,OH,2008.0,4,5,2002-2008,2.0,2,2154,4
94,22200,91694.0,99076.0,-7382.0,7382.0,-7.450845815,7.450845815,1.0,2006.0,2010.0,OH,2010.0,5,5,2008-2012,4.0,4,2154,5
95,22219,2655.0,2940.0,-285.0,285.0,-9.693877551,9.693877551,1.0,2003.0,2005.0,OH,2010.0,5,5,2002-2008,2.0,2,2156,3
96,22232,14003.333330000001,16649.5,-2646.166667,2646.166667,-15.89337017,15.89337017,12.0,2002.0,2004.0,OH,2005.0,4,5,2002-2008,2.0,2,21582,3
97,22245,14513.333330000001,22118.33333,-7605.0,7605.0,-34.38324165,34.38324165,11.0,2008.0,2009.0,OH,2009.0,5,5,2008-2012,1.0,1,21583,1
98,22398,7345.0,9986.25,-2641.25,2641.25,-26.44886719,26.44886719,12.0,2002.0,2004.0,OH,2009.0,5,5,2002-2008,2.0,2,2159,3
99,2241,22000.0,24500.0,-2500.0,2500.0,-10.20408163,10.20408163,12.0,2006.0,2006.0,WI,2006.0,4,5,2002-2008,0.0,0,2159,5
100,22491,7366.666667,9111.0,-1744.3333329999998,1744.3333329999998,-19.14535543,19.14535543,3.0,2003.0,2006.0,OH,2006.3333329999998,4,5,2002-2008,3.0,3,21616,1
101,2252,3160.0,3550.0,-390.0,390.0,-10.98591549,10.98591549,12.0,2006.0,2008.0,WI,2008.0,4,5,2002-2008,2.0,2,21755,3
102,2253,1300.0,2325.0,-1025.0,1025.0,-44.08602151,44.08602151,12.0,2006.0,2008.0,WI,2008.0,4,5,2002-2008,2.0,2,21785,4
103,2256,6500.0,7166.666667,-666.6666667000001,666.6666667000001,-9.302325581,9.302325581,12.0,2006.0,2009.0,WI,2009.0,5,5,2008-2012,3.0,3,2187,5
104,2259,5250.0,5950.0,-700.0,700.0,-11.76470588,11.76470588,12.0,2006.0,2007.0,WI,2007.0,4,5,2002-2008,1.0,1,2191,4
105,22598,13440.0,13070.0,370.0,370.0,2.8309104819999997,2.8309104819999997,1.0,2011.0,2013.0,OH,2013.0,6,5,After 2012,2.0,2,21927,1
106,2261,4850.0,5250.0,-400.0,400.0,-7.619047619,7.619047619,12.0,2003.0,2009.0,WI,2009.0,5,5,2008-2012,6.0,6,21927,3
107,22666,1720.0,2280.0,-560.0,560.0,-24.56140351,24.56140351,1.0,2002.0,2004.0,OH,2004.0,4,5,2002-2008,2.0,2,21927,4
108,22772,20434.0,29147.2,-8713.2,8713.2,-29.89378053,29.89378053,3.0,2003.0,2006.0,OH,2010.0,5,5,2002-2008,3.0,3,21938,3
109,22788,34920.0,46460.0,-11540.0,11540.0,-24.83857081,24.83857081,12.0,2002.0,2003.0,OH,2003.0,4,5,2002-2008,1.0,1,2197,4
110,22889,47160.0,57105.5,-9945.5,9945.5,-17.41601072,17.41601072,11.0,2002.0,2006.0,OH,2009.0,5,5,2002-2008,4.0,4,2198,3
111,2293,8691.0,7550.0,1141.0,1141.0,15.11258278,15.11258278,12.0,2013.0,2014.0,MI,2014.0,6,5,After 2012,1.0,1,22010,4
112,2298,3496.666667,3066.666667,430.0,430.0,14.02173913,14.02173913,12.0,2006.0,2007.0,WI,2007.0,4,5,2002-2008,1.0,1,22010,5
113,23022,3600.0,3519.0,81.0,81.0,2.301790281,2.301790281,1.0,2008.0,2009.0,OH,2010.0,5,5,2008-2012,1.0,1,2204,3
114,23029,17985.0,21337.5,-3352.5,3352.5,-15.71177504,15.71177504,2.0,2003.0,2004.0,OH,2007.0,4,5,2002-2008,1.0,1,22080,3
115,23030,15110.0,30522.5,-15412.5,15412.5,-50.49553608,50.49553608,12.0,2003.0,2005.0,OH,2008.0,4,5,2002-2008,2.0,2,2209,3
116,2308,21133.33333,27200.0,-6066.666667,6066.666667,-22.30392157,22.30392157,12.0,2006.0,2010.0,WI,2010.0,5,5,2008-2012,4.0,4,2209,4
117,23104,12030.0,10631.0,1399.0,1399.0,13.1596275,13.1596275,1.0,2003.0,2005.0,OH,2008.0,4,5,2002-2008,2.0,2,2209,6
118,23174,1980.0,3776.25,-1796.25,1796.25,-47.56703078,47.56703078,12.0,2002.0,2004.0,OH,2009.0,5,5,2002-2008,2.0,2,2214,4
119,2320,28650.0,32000.0,-3350.0,3350.0,-10.46875,10.46875,12.0,2006.0,2007.0,WI,2007.0,4,5,2002-2008,1.0,1,2214,8
120,2322,30566.66667,22933.33333,7633.333333,7633.333333,33.28488372,33.28488372,12.0,2006.0,2009.0,WI,2009.0,5,5,2008-2012,3.0,3,2217,3
121,23265,11080.0,14695.0,-3615.0,3615.0,-24.60020415,24.60020415,12.0,2002.0,2005.0,OH,2005.0,4,5,2002-2008,3.0,3,22179,1
122,2329,26366.66667,27066.66667,-700.0,700.0,-2.586206897,2.586206897,12.0,2006.0,2009.0,WI,2009.0,5,5,2008-2012,3.0,3,22200,1
123,2341,15633.333330000001,15600.0,33.33333333,33.33333333,0.21367521399999997,0.21367521399999997,12.0,2006.0,2007.0,WI,2007.0,4,5,2002-2008,1.0,1,22219,5
124,2345,7866.666667,8233.333333,-366.6666667,366.6666667,-4.453441296,4.453441296,12.0,2006.0,2009.0,WI,2009.0,5,5,2008-2012,3.0,3,22232,3
125,23569,5506.666667,6615.0,-1108.333333,1108.333333,-16.75485009,16.75485009,12.0,2002.0,2004.0,OH,2009.0,5,5,2002-2008,2.0,2,22245,1
126,23574,5482.5,6274.125,-791.625,791.625,-12.61729723,12.61729723,1.0,2007.0,2009.0,OH,2010.0,5,5,2008-2012,2.0,2,22245,3
127,23576,11610.0,11930.0,-320.0,320.0,-2.682313495,2.682313495,1.0,2004.0,2005.0,OH,2005.0,4,5,2002-2008,1.0,1,22398,3
128,23577,6777.5,7508.125,-730.625,730.625,-9.731124615,9.731124615,1.0,2005.0,2007.0,OH,2010.0,5,5,2002-2008,2.0,2,22398,5
129,23582,1752.0,2785.6659999999997,-1033.6660000000002,1033.6660000000002,-37.10660216,37.10660216,1.0,2004.0,2006.0,OH,2006.4,4,5,2002-2008,2.0,2,2241,4
130,23584,6730.0,6997.5,-267.5,267.5,-3.822793855,3.822793855,1.0,2004.0,2005.0,OH,2006.0,4,5,2002-2008,1.0,1,22491,4
131,23587,3850.0,6444.17,-2594.17,2594.17,-40.25607642,40.25607642,1.0,2004.0,2005.0,OH,2006.0,4,5,2002-2008,1.0,1,22491,6
132,23588,920.0,1304.17,-384.17,384.17,-29.45704931,29.45704931,1.0,2006.0,2009.0,OH,2010.0,5,5,2008-2012,3.0,3,2252,3
133,2359,9166.666667,9433.333333,-266.6666667,266.6666667,-2.8268551239999997,2.8268551239999997,12.0,2006.0,2008.0,WI,2008.0,4,5,2002-2008,2.0,2,22529,3
134,2368,13400.0,15500.0,-2100.0,2100.0,-13.5483871,13.5483871,12.0,2007.0,2010.0,WI,2010.0,5,5,2008-2012,3.0,3,2253,4
135,2369,13200.0,14650.0,-1450.0,1450.0,-9.897610922,9.897610922,12.0,2007.0,2010.0,WI,2010.0,5,5,2008-2012,3.0,3,2256,3
136,23716,11710.0,12836.67,-1126.67,1126.67,-8.776964742,8.776964742,1.0,2004.0,2005.0,OH,2006.0,4,5,2002-2008,1.0,1,2256,5
137,23717,9290.0,10080.0,-790.0,790.0,-7.837301587000001,7.837301587000001,12.0,2003.0,2005.0,OH,2005.0,4,5,2002-2008,2.0,2,2259,3
138,2372,2200.0,2000.0,200.0,200.0,10.0,10.0,12.0,2006.0,2009.0,WI,2009.0,5,5,2008-2012,3.0,3,22598,3
139,2373,7700.0,8700.0,-1000.0,1000.0,-11.49425287,11.49425287,12.0,2006.0,2008.0,WI,2008.0,4,5,2002-2008,2.0,2,2261,4
140,23730,63585.0,81905.75,-18320.75,18320.75,-22.36808771,22.36808771,1.0,2006.0,2008.0,OH,2010.0,5,5,2002-2008,2.0,2,22666,5
141,23735,20380.0,21765.0,-1385.0,1385.0,-6.363427521,6.363427521,1.0,2005.0,2006.0,OH,2006.0,4,5,2002-2008,1.0,1,22772,1
142,23737,15890.0,14283.333330000001,1606.666667,1606.666667,11.24854142,11.24854142,1.0,2006.0,2007.0,OH,2007.0,4,5,2002-2008,1.0,1,22772,3
143,23738,10970.0,12795.0,-1825.0,1825.0,-14.26338413,14.26338413,1.0,2009.0,2010.0,OH,2009.0,5,5,2008-2012,1.0,1,22788,1
144,237506-2,32500.0,32000.0,500.0,500.0,1.5625,1.5625,1.0,2001.0,2003.0,FL,2005.0,4,5,2002-2008,2.0,2,22853,1
145,237550-1,33000.0,39300.0,-6300.0,6300.0,-16.03053435,16.03053435,1.0,2004.0,2004.0,FL,2006.0,4,5,2002-2008,0.0,0,22889,1
146,237565-1,13400.0,18300.0,-4900.0,4900.0,-26.77595628,26.77595628,1.0,2004.0,2010.0,FL,2012.0,5,5,2008-2012,6.0,6,2293,3
147,237567-1,23000.0,22900.0,100.0,100.0,0.43668122299999995,0.43668122299999995,1.0,2007.0,2007.0,FL,2009.0,5,5,2002-2008,0.0,0,2298,3
148,237576-1,30500.0,56700.0,-26200.0,26200.0,-46.20811287,46.20811287,4.0,2002.0,2007.0,FL,2009.0,5,5,2002-2008,5.0,5,2298,5
149,237592-1,37000.0,43500.0,-6500.0,6500.0,-14.94252874,14.94252874,4.0,2002.0,2007.0,FL,2009.0,5,5,2002-2008,5.0,5,23022,4
150,237592-2,27000.0,33700.0,-6700.0,6700.0,-19.88130564,19.88130564,4.0,2010.0,2015.0,FL,2017.0,6,5,After 2012,5.0,5,23029,3
151,237632-1,14100.0,19500.0,-5400.0,5400.0,-27.69230769,27.69230769,12.0,2001.0,2004.0,FL,2006.0,4,5,2002-2008,3.0,3,23030,4
152,237650-2,32500.0,28900.0,3600.0,3600.0,12.4567474,12.4567474,1.0,2002.0,2006.0,FL,2008.0,4,5,2002-2008,4.0,4,2308,3
153,237650-3,28100.0,36600.0,-8500.0,8500.0,-23.22404372,23.22404372,4.0,2006.0,2011.0,FL,2013.0,6,5,2008-2012,5.0,5,23104,4
154,237965-1,14900.0,9800.0,5100.0,5100.0,52.04081633,52.04081633,4.0,2004.0,2006.0,FL,2008.0,4,5,2002-2008,2.0,2,23174,5
155,23799,41166.66667,38434.16667,2732.5,2732.5,7.109559637,7.109559637,1.0,2008.0,2009.0,OH,2008.0,4,5,2008-2012,1.0,1,2320,3
156,23800,25345.0,29647.5,-4302.5,4302.5,-14.51218484,14.51218484,1.0,2008.0,2009.0,OH,2010.0,5,5,2008-2012,1.0,1,2322,3
157,2381,1475.0,2000.0,-525.0,525.0,-26.25,26.25,12.0,2007.0,2008.0,WI,2008.0,4,5,2002-2008,1.0,1,23265,3
158,23817,18030.0,17325.83,704.17,704.17,4.064278594,4.064278594,1.0,2011.0,2012.0,OH,2011.0,5,5,2008-2012,1.0,1,23265,4
159,23823,46570.0,50628.5,-4058.5,4058.5,-8.016235915,8.016235915,3.0,2002.0,2005.0,OH,2008.0,4,5,2002-2008,3.0,3,2329,3
160,23825,20590.0,23980.0,-3390.0,3390.0,-14.13678065,14.13678065,1.0,2004.0,2006.0,OH,2006.0,4,5,2002-2008,2.0,2,2341,3
161,23828,88050.0,108505.0,-20455.0,20455.0,-18.85166582,18.85166582,11.0,2003.0,2006.0,OH,2009.0,5,5,2002-2008,3.0,3,2341,4
162,23830,41640.0,46642.0,-5002.0,5002.0,-10.72423996,10.72423996,12.0,2004.0,2006.0,OH,2007.0,4,5,2002-2008,2.0,2,2345,3
163,23832,13900.0,14380.0,-480.0,480.0,-3.3379694019999997,3.3379694019999997,1.0,2005.0,2007.0,OH,2007.0,4,5,2002-2008,2.0,2,2345,5
164,23833,11590.0,13722.0,-2132.0,2132.0,-15.53709372,15.53709372,1.0,2005.0,2008.0,OH,2009.0,5,5,2002-2008,3.0,3,23569,3
165,23835,31536.66667,39743.16667,-8206.5,8206.5,-20.64883271,20.64883271,1.0,2007.0,2010.0,OH,2008.3333329999998,5,5,2008-2012,3.0,3,23569,5
