InternalProjectID,AverageCount,AverageForecast,Error,AbsError,PercentError,AbsPE,ImprovementType,YearForecastProduced,ForecastYear,State,Year_ofObservation,Decade_Count,Decade_ForecastProduced,Decade_Opening,Diff_Year,ForecastHorizon
21177,23070,41694.5,-18624.5,18624.5,-44.66896113,44.66896113,1,2008,2010,OH,2009,5,5,2008-2012,2,2
21250,10900,11099.65,-199.65,199.65,-1.798705365,1.798705365,12,2005,2007,OH,2010,5,5,2002-2008,2,2
2126,2630,2420,210,210,8.67768595,8.67768595,12,2006,2007,WI,2007,4,5,2002-2008,1,1
2137,38900,36362.5,2537.5,2537.5,6.978343073,6.978343073,12,2006,2009,WI,2009,5,5,2008-2012,3,3
2138,6533.333333,8233.333333,-1700,1700,-20.64777328,20.64777328,12,2007,2010,WI,2010,5,5,2008-2012,3,3
21453,18505,22254.165,-3749.165,3749.165,-16.84702616,16.84702616,1,2002,2004,OH,2005,4,5,2002-2008,2,2
2148,10400,12800,-2400,2400,-18.75,18.75,12,2006,2006,WI,2006,4,5,2002-2008,0,0
21509,6250,7145,-895,895,-12.52624213,12.52624213,1,2004,2005,OH,2010,5,5,2002-2008,1,1
2154,1395,1770,-375,375,-21.18644068,21.18644068,12,2006,2010,WI,2010,5,5,2008-2012,4,4
2156,2900,3000,-100,100,-3.333333333,3.333333333,12,2006,2006,WI,2006,4,5,2002-2008,0,0
21582,6090,6598.33,-508.33,508.33,-7.703919022,7.703919022,1,2002,2004,OH,2005,4,5,2002-2008,2,2
21583,41370,41340,30,30,0.07256894,0.07256894,1,2005,2006,OH,2006,4,5,2002-2008,1,1
2159,5976.666667,8371.666667,-2395,2395,-28.60840135,28.60840135,12,2007,2011,WI,2011,5,5,2008-2012,4,4
21616,31660,37945,-6285,6285,-16.56344709,16.56344709,1,2005,2007,OH,2007,4,5,2002-2008,2,2
21785,12810,14378,-1568,1568,-10.90555015,10.90555015,12,2003,2005,OH,2007,4,5,2002-2008,2,2
2187,1800,1700,100,100,5.882352941,5.882352941,12,2006,2009,WI,2009,5,5,2008-2012,3,3
2191,1800,2800,-1000,1000,-35.71428571,35.71428571,12,2007,2008,WI,2008,4,5,2002-2008,1,1
21927,15003.33333,17408.33333,-2405,2405,-13.81522259,13.81522259,11,2005,2010,OH,2010,5,5,2008-2012,5,5
21938,13445,16154.5,-2709.5,2709.5,-16.77241635,16.77241635,1,2002,2004,OH,2007,4,5,2002-2008,2,2
2197,1200,1500,-300,300,-20,20,12,2006,2008,WI,2008,4,5,2002-2008,2,2
2198,18100,20500,-2400,2400,-11.70731707,11.70731707,12,2006,2007,WI,2007,4,5,2002-2008,1,1
22010,5200,7532.5,-2332.5,2332.5,-30.9658148,30.9658148,3,2003,2006,OH,2011,5,5,2002-2008,3,3
2204,9537.5,9937.5,-400,400,-4.025157233,4.025157233,12,2007,2011,WI,2011,5,5,2008-2012,4,4
22080,11820,20070,-8250,8250,-41.10612855,41.10612855,1,2003,2005,OH,2008,4,5,2002-2008,2,2
2209,3434,3742,-308,308,-8.230892571,8.230892571,12,2006,2009,WI,2009,5,5,2008-2012,3,3
2214,8028.571429,6314.285714,1714.285714,1714.285714,27.14932127,27.14932127,12,2006,2006,WI,2006,4,5,2002-2008,0,0
2217,5700,6250,-550,550,-8.8,8.8,12,2006,2008,WI,2008,4,5,2002-2008,2,2
22179,47736.66667,51026,-3289.333333,3289.333333,-6.446386809,6.446386809,12,2002,2004,OH,2008,4,5,2002-2008,2,2
22200,91694,99076,-7382,7382,-7.450845815,7.450845815,1,2006,2010,OH,2010,5,5,2008-2012,4,4
22219,2655,2940,-285,285,-9.693877551,9.693877551,1,2003,2005,OH,2010,5,5,2002-2008,2,2
22232,14003.33333,16649.5,-2646.166667,2646.166667,-15.89337017,15.89337017,12,2002,2004,OH,2005,4,5,2002-2008,2,2
22245,14513.33333,22118.33333,-7605,7605,-34.38324165,34.38324165,11,2008,2009,OH,2009,5,5,2008-2012,1,1
22398,7345,9986.25,-2641.25,2641.25,-26.44886719,26.44886719,12,2002,2004,OH,2009,5,5,2002-2008,2,2
2241,22000,24500,-2500,2500,-10.20408163,10.20408163,12,2006,2006,WI,2006,4,5,2002-2008,0,0
22491,7366.666667,9111,-1744.333333,1744.333333,-19.14535543,19.14535543,3,2003,2006,OH,2006.333333,4,5,2002-2008,3,3
2252,3160,3550,-390,390,-10.98591549,10.98591549,12,2006,2008,WI,2008,4,5,2002-2008,2,2
2253,1300,2325,-1025,1025,-44.08602151,44.08602151,12,2006,2008,WI,2008,4,5,2002-2008,2,2
2256,6500,7166.666667,-666.6666667,666.6666667,-9.302325581,9.302325581,12,2006,2009,WI,2009,5,5,2008-2012,3,3
2259,5250,5950,-700,700,-11.76470588,11.76470588,12,2006,2007,WI,2007,4,5,2002-2008,1,1
22598,13440,13070,370,370,2.830910482,2.830910482,1,2011,2013,OH,2013,6,5,After 2012,2,2
2261,4850,5250,-400,400,-7.619047619,7.619047619,12,2003,2009,WI,2009,5,5,2008-2012,6,6
22666,1720,2280,-560,560,-24.56140351,24.56140351,1,2002,2004,OH,2004,4,5,2002-2008,2,2
22772,20434,29147.2,-8713.2,8713.2,-29.89378053,29.89378053,3,2003,2006,OH,2010,5,5,2002-2008,3,3
22788,34920,46460,-11540,11540,-24.83857081,24.83857081,12,2002,2003,OH,2003,4,5,2002-2008,1,1
22889,47160,57105.5,-9945.5,9945.5,-17.41601072,17.41601072,11,2002,2006,OH,2009,5,5,2002-2008,4,4
2293,8691,7550,1141,1141,15.11258278,15.11258278,12,2013,2014,MI,2014,6,5,After 2012,1,1
2298,3496.666667,3066.666667,430,430,14.02173913,14.02173913,12,2006,2007,WI,2007,4,5,2002-2008,1,1
23022,3600,3519,81,81,2.301790281,2.301790281,1,2008,2009,OH,2010,5,5,2008-2012,1,1
23029,17985,21337.5,-3352.5,3352.5,-15.71177504,15.71177504,2,2003,2004,OH,2007,4,5,2002-2008,1,1
23030,15110,30522.5,-15412.5,15412.5,-50.49553608,50.49553608,12,2003,2005,OH,2008,4,5,2002-2008,2,2
2308,21133.33333,27200,-6066.666667,6066.666667,-22.30392157,22.30392157,12,2006,2010,WI,2010,5,5,2008-2012,4,4
23104,12030,10631,1399,1399,13.1596275,13.1596275,1,2003,2005,OH,2008,4,5,2002-2008,2,2
23174,1980,3776.25,-1796.25,1796.25,-47.56703078,47.56703078,12,2002,2004,OH,2009,5,5,2002-2008,2,2
2320,28650,32000,-3350,3350,-10.46875,10.46875,12,2006,2007,WI,2007,4,5,2002-2008,1,1
2322,30566.66667,22933.33333,7633.333333,7633.333333,33.28488372,33.28488372,12,2006,2009,WI,2009,5,5,2008-2012,3,3
23265,11080,14695,-3615,3615,-24.60020415,24.60020415,12,2002,2005,OH,2005,4,5,2002-2008,3,3
2329,26366.66667,27066.66667,-700,700,-2.586206897,2.586206897,12,2006,2009,WI,2009,5,5,2008-2012,3,3
2341,15633.33333,15600,33.33333333,33.33333333,0.213675214,0.213675214,12,2006,2007,WI,2007,4,5,2002-2008,1,1
2345,7866.666667,8233.333333,-366.6666667,366.6666667,-4.453441296,4.453441296,12,2006,2009,WI,2009,5,5,2008-2012,3,3
23569,5506.666667,6615,-1108.333333,1108.333333,-16.75485009,16.75485009,12,2002,2004,OH,2009,5,5,2002-2008,2,2
23574,5482.5,6274.125,-791.625,791.625,-12.61729723,12.61729723,1,2007,2009,OH,2010,5,5,2008-2012,2,2
23576,11610,11930,-320,320,-2.682313495,2.682313495,1,2004,2005,OH,2005,4,5,2002-2008,1,1
23577,6777.5,7508.125,-730.625,730.625,-9.731124615,9.731124615,1,2005,2007,OH,2010,5,5,2002-2008,2,2
23582,1752,2785.666,-1033.666,1033.666,-37.10660216,37.10660216,1,2004,2006,OH,2006.4,4,5,2002-2008,2,2
23584,6730,6997.5,-267.5,267.5,-3.822793855,3.822793855,1,2004,2005,OH,2006,4,5,2002-2008,1,1
23587,3850,6444.17,-2594.17,2594.17,-40.25607642,40.25607642,1,2004,2005,OH,2006,4,5,2002-2008,1,1
23588,920,1304.17,-384.17,384.17,-29.45704931,29.45704931,1,2006,2009,OH,2010,5,5,2008-2012,3,3
2359,9166.666667,9433.333333,-266.6666667,266.6666667,-2.826855124,2.826855124,12,2006,2008,WI,2008,4,5,2002-2008,2,2
2368,13400,15500,-2100,2100,-13.5483871,13.5483871,12,2007,2010,WI,2010,5,5,2008-2012,3,3
2369,13200,14650,-1450,1450,-9.897610922,9.897610922,12,2007,2010,WI,2010,5,5,2008-2012,3,3
23716,11710,12836.67,-1126.67,1126.67,-8.776964742,8.776964742,1,2004,2005,OH,2006,4,5,2002-2008,1,1
23717,9290,10080,-790,790,-7.837301587,7.837301587,12,2003,2005,OH,2005,4,5,2002-2008,2,2
2372,2200,2000,200,200,10,10,12,2006,2009,WI,2009,5,5,2008-2012,3,3
2373,7700,8700,-1000,1000,-11.49425287,11.49425287,12,2006,2008,WI,2008,4,5,2002-2008,2,2
23730,63585,81905.75,-18320.75,18320.75,-22.36808771,22.36808771,1,2006,2008,OH,2010,5,5,2002-2008,2,2
23735,20380,21765,-1385,1385,-6.363427521,6.363427521,1,2005,2006,OH,2006,4,5,2002-2008,1,1
23737,15890,14283.33333,1606.666667,1606.666667,11.24854142,11.24854142,1,2006,2007,OH,2007,4,5,2002-2008,1,1
23738,10970,12795,-1825,1825,-14.26338413,14.26338413,1,2009,2010,OH,2009,5,5,2008-2012,1,1
237506-2,32500,32000,500,500,1.5625,1.5625,1,2001,2003,FL,2005,4,5,2002-2008,2,2
237550-1,33000,39300,-6300,6300,-16.03053435,16.03053435,1,2004,2004,FL,2006,4,5,2002-2008,0,0
237565-1,13400,18300,-4900,4900,-26.77595628,26.77595628,1,2004,2010,FL,2012,5,5,2008-2012,6,6
237567-1,23000,22900,100,100,0.436681223,0.436681223,1,2007,2007,FL,2009,5,5,2002-2008,0,0
237576-1,30500,56700,-26200,26200,-46.20811287,46.20811287,4,2002,2007,FL,2009,5,5,2002-2008,5,5
237592-1,37000,43500,-6500,6500,-14.94252874,14.94252874,4,2002,2007,FL,2009,5,5,2002-2008,5,5
237592-2,27000,33700,-6700,6700,-19.88130564,19.88130564,4,2010,2015,FL,2017,6,5,After 2012,5,5
237632-1,14100,19500,-5400,5400,-27.69230769,27.69230769,12,2001,2004,FL,2006,4,5,2002-2008,3,3
237650-2,32500,28900,3600,3600,12.4567474,12.4567474,1,2002,2006,FL,2008,4,5,2002-2008,4,4
237650-3,28100,36600,-8500,8500,-23.22404372,23.22404372,4,2006,2011,FL,2013,6,5,2008-2012,5,5
237965-1,14900,9800,5100,5100,52.04081633,52.04081633,4,2004,2006,FL,2008,4,5,2002-2008,2,2
23799,41166.66667,38434.16667,2732.5,2732.5,7.109559637,7.109559637,1,2008,2009,OH,2008,4,5,2008-2012,1,1
23800,25345,29647.5,-4302.5,4302.5,-14.51218484,14.51218484,1,2008,2009,OH,2010,5,5,2008-2012,1,1
2381,1475,2000,-525,525,-26.25,26.25,12,2007,2008,WI,2008,4,5,2002-2008,1,1
23817,18030,17325.83,704.17,704.17,4.064278594,4.064278594,1,2011,2012,OH,2011,5,5,2008-2012,1,1
23823,46570,50628.5,-4058.5,4058.5,-8.016235915,8.016235915,3,2002,2005,OH,2008,4,5,2002-2008,3,3
23825,20590,23980,-3390,3390,-14.13678065,14.13678065,1,2004,2006,OH,2006,4,5,2002-2008,2,2
23828,88050,108505,-20455,20455,-18.85166582,18.85166582,11,2003,2006,OH,2009,5,5,2002-2008,3,3
23830,41640,46642,-5002,5002,-10.72423996,10.72423996,12,2004,2006,OH,2007,4,5,2002-2008,2,2
23832,13900,14380,-480,480,-3.337969402,3.337969402,1,2005,2007,OH,2007,4,5,2002-2008,2,2
23833,11590,13722,-2132,2132,-15.53709372,15.53709372,1,2005,2008,OH,2009,5,5,2002-2008,3,3
23835,31536.66667,39743.16667,-8206.5,8206.5,-20.64883271,20.64883271,1,2007,2010,OH,2008.333333,5,5,2008-2012,3,3
238394-2,36666.66667,36466.66667,200,200,0.548446069,0.548446069,4,2002,2010,FL,2012,5,5,2008-2012,8,6
238394-2A,25000,27700,-2700,2700,-9.747292419,9.747292419,4,2007,2010,FL,2012,5,5,2008-2012,3,3
238394-3,28000,36600,-8600,8600,-23.49726776,23.49726776,4,2006,2011,FL,2013,6,5,2008-2012,5,5
238394-4,41500,55400,-13900,13900,-25.09025271,25.09025271,12,2006,2011,FL,2013,6,5,2008-2012,5,5
238395-4,32500,38400,-5900,5900,-15.36458333,15.36458333,4,2005,2012,FL,2014,6,5,2008-2012,7,6
238395-5,34500,40050,-5550,5550,-13.8576779,13.8576779,4,2005,2007,FL,2009,5,5,2002-2008,2,2
238422-1,33750,28100,5650,5650,20.10676157,20.10676157,4,2003,2008,FL,2010,5,5,2002-2008,5,5
238429-4,43000,48600,-5600,5600,-11.52263374,11.52263374,4,2006,2007,FL,2009,5,5,2002-2008,1,1
238429-5,52500,49000,3500,3500,7.142857143,7.142857143,4,2003,2007,FL,2009,5,5,2002-2008,4,4
238651-1,14600,12600,2000,2000,15.87301587,15.87301587,4,2002,2005,FL,2007,4,5,2002-2008,3,3
238677-1,18500,18300,200,200,1.092896175,1.092896175,4,2006,2009,FL,2011,5,5,2008-2012,3,3
238720-1,7900,10600,-2700,2700,-25.47169811,25.47169811,1,2007,2015,FL,2017,6,5,After 2012,8,6
2388,7133.333333,8566.666667,-1433.333333,1433.333333,-16.73151751,16.73151751,12,2007,2010,WI,2010,5,5,2008-2012,3,3
23894,16060,17993.25,-1933.25,1933.25,-10.74430689,10.74430689,12,2002,2005,OH,2006,4,5,2002-2008,3,3
23903,5193.333333,5645,-451.6666667,451.6666667,-8.001180986,8.001180986,2,2003,2005,OH,2010,5,5,2002-2008,2,2
2391,600,1100,-500,500,-45.45454545,45.45454545,12,2007,2007,WI,2007,4,5,2002-2008,0,0
23914,2960,3580,-620,620,-17.31843575,17.31843575,1,2003,2007,OH,2007,4,5,2002-2008,4,4
2396,3950,3866.666667,83.33333333,83.33333333,2.155172414,2.155172414,12,2007,2009,WI,2009,5,5,2008-2012,2,2
240373-1,8200,8440,-240,240,-2.843601896,2.843601896,4,2002,2005,FL,2007,4,5,2002-2008,3,3
240887-1,47500,44700,2800,2800,6.263982103,6.263982103,4,2002,2008,FL,2010,5,5,2002-2008,6,6
240992-2,19600,20200,-600,600,-2.97029703,2.97029703,2,2010,2012,FL,2014,6,5,2008-2012,2,2
240992-5,24500,25000,-500,500,-2,2,2,2010,2012,FL,2014,6,5,2008-2012,2,2
241020-1,25000,30100,-5100,5100,-16.94352159,16.94352159,4,2004,2007,FL,2009,5,5,2002-2008,3,3
241043-1,3700,2845,855,855,30.05272408,30.05272408,1,2002,2006,FL,2008,4,5,2002-2008,4,4
2411,5225,6550,-1325,1325,-20.22900763,20.22900763,12,2007,2010,WI,2010,5,5,2008-2012,3,3
241211-1,17000,14200,2800,2800,19.71830986,19.71830986,1,2007,2010,FL,2012,5,5,2008-2012,3,3
241543-1,11300,16600,-5300,5300,-31.92771084,31.92771084,4,2005,2008,FL,2010,5,5,2002-2008,3,3
2417,12825,15700,-2875,2875,-18.31210191,18.31210191,12,2007,2009,WI,2009,5,5,2008-2012,2,2
24247,10250,29357,-19107,19107,-65.08498825,65.08498825,3,2005,2007,OH,2011,5,5,2002-2008,2,2
242592-2,142000,148500,-6500,6500,-4.377104377,4.377104377,4,2005,2009,FL,2011,5,5,2008-2012,4,4
242696-1,58500,46600,11900,11900,25.53648069,25.53648069,4,2002,2003,FL,2005,4,5,2002-2008,1,1
24316,5933.333333,8281.25,-2347.916667,2347.916667,-28.35220126,28.35220126,1,2002,2004,OH,2009,5,5,2002-2008,2,2
2442,410,2900,-2490,2490,-85.86206897,85.86206897,12,2007,2009,WI,2009,5,5,2008-2012,2,2
24441,110195,107500.625,2694.375,2694.375,2.506380777,2.506380777,1,2003,2005,OH,2006,4,5,2002-2008,2,2
2449,4400,5350,-950,950,-17.75700935,17.75700935,12,2007,2008,WI,2008,4,5,2002-2008,1,1
2458,31566.66667,31666.66667,-100,100,-0.315789474,0.315789474,12,2007,2010,WI,2010,5,5,2008-2012,3,3
24597,4925,7635,-2710,2710,-35.49443353,35.49443353,1,2003,2007,OH,2007,4,5,2002-2008,4,4
24598,2800,3702,-902,902,-24.365208,24.365208,1,2002,2007,OH,2011,5,5,2002-2008,5,5
2464,5700,7100,-1400,1400,-19.71830986,19.71830986,12,2007,2011,WI,2011,5,5,2008-2012,4,4
2465,7666.666667,8766.666667,-1100,1100,-12.54752852,12.54752852,12,2007,2011,WI,2011,5,5,2008-2012,4,4
2467,17757.14286,18928.57143,-1171.428571,1171.428571,-6.188679245,6.188679245,12,2007,2011,WI,2011,5,5,2008-2012,4,4
24691,36860,31816.67,5043.33,5043.33,15.85121887,15.85121887,1,2005,2007,OH,2009,5,5,2002-2008,2,2
24738,5340,5115,225,225,4.398826979,4.398826979,1,2003,2004,OH,2004,4,5,2002-2008,1,1
24771,16060,18763.5,-2703.5,2703.5,-14.4082927,14.4082927,3,2003,2004,OH,2007,4,5,2002-2008,1,1
24794,17133.33333,15547.83333,1585.5,1585.5,10.19756236,10.19756236,1,2002,2005,OH,2004,4,5,2002-2008,3,3
2486,1000,1300,-300,300,-23.07692308,23.07692308,12,2007,2010,WI,2010,5,5,2008-2012,3,3
24947,8690,12563.7,-3873.7,3873.7,-30.83247769,30.83247769,1,2007,2011,OH,2010,5,5,2008-2012,4,4
24956,23695,27028.335,-3333.335,3333.335,-12.33274266,12.33274266,1,2007,2009,OH,2008,4,5,2008-2012,2,2
24957,55935,52330,3605,3605,6.88897382,6.88897382,1,2006,2010,OH,2008,4,5,2008-2012,4,4
2501,10300,13400,-3100,3100,-23.13432836,23.13432836,12,2007,2011,WI,2011,5,5,2008-2012,4,4
2514,576.6666667,713.3333333,-136.6666667,136.6666667,-19.1588785,19.1588785,12,2007,2010,WI,2010,5,5,2008-2012,3,3
25154,66090,82930,-16840,16840,-20.30628241,20.30628241,1,2003,2004,OH,2009,5,5,2002-2008,1,1
25159,64560,64535,25,25,0.038738669,0.038738669,1,2003,2004,OH,2004,4,5,2002-2008,1,1
25198,10510,13978,-3468,3468,-24.81041637,24.81041637,1,2004,2007,OH,2009,5,5,2002-2008,3,3
25199,14890,15007.75,-117.75,117.75,-0.784594626,0.784594626,1,2007,2010,OH,2009,5,5,2008-2012,3,3
25203,47515,48990,-1475,1475,-3.010818534,3.010818534,1,2008,2010,OH,2010,5,5,2008-2012,2,2
25207,11250,12400,-1150,1150,-9.274193548,9.274193548,1,2006,2009,OH,2009,5,5,2008-2012,3,3
2523,3800,4300,-500,500,-11.62790698,11.62790698,12,2007,2010,WI,2010,5,5,2008-2012,3,3
25235,18210,23602.66667,-5392.666667,5392.666667,-22.84770082,22.84770082,1,2006,2010,OH,2008,4,5,2008-2012,4,4
25325,39200,41440,-2240,2240,-5.405405405,5.405405405,12,2003,2007,OH,2007,4,5,2002-2008,4,4
2533,7187.5,7579.5,-392,392,-5.171845109,5.171845109,12,2007,2009,WI,2009,5,5,2008-2012,2,2
2536,10940,12510,-1570,1570,-12.54996003,12.54996003,12,2007,2009,WI,2009,5,5,2008-2012,2,2
25377,8036.666667,7772.5,264.1666667,264.1666667,3.398734856,3.398734856,12,2002,2003,OH,2003.333333,4,5,2002-2008,1,1
25378,5410,6786.388333,-1376.388333,1376.388333,-20.2816029,20.2816029,2,2006,2008,OH,2006.833333,4,5,2002-2008,2,2
25423,13030,15433.66667,-2403.666667,2403.666667,-15.57417766,15.57417766,1,2006,2010,OH,2009,5,5,2008-2012,4,4
25438,2810,3323.333333,-513.3333333,513.3333333,-15.44633902,15.44633902,1,2007,2008,OH,2008,4,5,2002-2008,1,1
