InternalProjectID,FunctionalClass,Count
84556,3,2
84557,1,3
84557,3,5
84604,5,1
84629,1,2
84699,1,4
84699,3,2
84699,5,2
84700,1,4
84700,5,5
84749,6,1
84750,3,2
84778,5,1
84964,4,1
85052,3,4
85114,1,2
85121,4,5
85162,1,4
85162,3,1
85162,4,4
85162,5,1
85200,5,3
85201,3,2
85206,1,1
85206,3,1
85220,1,1
85240,1,3
85276,1,1
85296,3,3
85331,6,1
85347,1,1
85894,5,2
86215,1,1
86254,4,1
86367,3,5
86369,3,2
86369,4,2
86653,1,2
86653,3,1
86712,5,1
86718,4,1
86718,5,1
86721,5,2
86724,5,1
86769,3,1
86794,3,2
86794,5,1
86797,3,1
86816,3,6
86824,1,2
86867,4,1
86920,1,1
86920,5,1
86944,5,1
86979,1,1
87025,1,3
87093,5,4
87130,1,1
87206,5,1
87230,5,1
87349,1,1
87437,4,1
87441,5,1
87525,3,1
87762,4,1
87920,1,5
87941,1,1
87943,1,1
88004,4,1
88049,3,9
88049,4,2
88085,1,1
88346,3,1
88393,3,2
88393,4,2
88407,1,3
88407,3,17
88547,1,1
88591,1,1
8864,8,1
8865,8,1
88655,3,3
8866,8,1
88662,4,1
8867,8,1
8868,8,1
88682,5,1
8869,8,1
8870,8,1
8871,8,1
8872,8,1
8873,8,1
88739,3,7
8874,8,1
8875,8,1
88754,3,1
88759,5,1
8876,8,1
88768,5,1
8877,8,1
88771,1,1
88775,3,1
8878,8,1
8879,8,1
8880,8,1
8881,8,1
88815,5,1
8882,8,1
8883,8,1
8884,8,1
8885,8,1
88859,5,1
8886,8,1
8887,8,1
8888,8,1
8889,8,1
8890,8,1
8891,8,1
8892,8,1
8893,8,1
8894,8,1
8895,8,1
8896,8,1
8897,8,1
8898,8,1
8899,8,1
8900,8,1
8901,8,1
8902,8,1
8903,8,1
8904,8,1
8905,8,1
8906,8,1
8907,8,1
8908,8,1
8909,8,1
8910,8,1
8911,8,1
8912,8,1
8913,8,1
8914,8,1
8915,8,1
8916,8,1
8917,8,1
89171,1,1
8918,8,1
8919,8,1
89193,5,1
8920,8,1
8921,8,1
8922,8,1
8923,8,1
89230,3,1
8924,8,1
8925,8,1
8926,8,1
8927,8,1
8928,8,1
8929,8,1
8930,8,1
8931,8,1
8932,8,1
8933,8,1
8934,8,1
8935,8,1
8936,8,1
8937,8,1
8938,8,1
8939,8,1
8940,8,1
8941,8,1
8942,8,1
8943,8,1
8944,8,1
8945,8,1
8946,8,1
8947,8,1
89470,3,1
8948,8,1
8949,8,1
8950,8,1
89505,4,1
89506,3,3
89506,5,2
8951,8,1
8952,8,1
8953,8,1
8954,8,1
8955,8,1
8956,8,1
8957,8,1
8958,8,1
8959,8,1
8960,8,1
8961,8,1
8962,8,1
8963,8,1
8964,8,1
8965,8,1
8966,8,1
8967,8,1
8968,8,1
8969,8,1
8970,8,1
8971,8,1
8972,8,1
8973,8,1
8974,8,1
8975,8,1
8976,8,1
8977,8,1
8978,8,1
8979,8,1
8980,8,1
8981,8,1
8982,8,1
8983,8,1
8984,8,1
8985,8,1
8986,8,1
8987,8,1
8988,8,1
8989,8,1
8990,8,1
89905,3,3
8991,8,1
8992,8,1
8993,8,1
8994,8,1
8995,8,1
8996,8,1
8997,8,1
8998,8,1
8999,8,1
9000,8,1
9001,8,1
9002,8,1
9003,8,1
9004,8,1
9005,8,1
9006,8,1
90112,1,1
90120,1,1
90351,4,1
90357,5,1
90359,5,1
90423,3,1
90434,1,3
90434,3,1
90540,3,1
90598,1,1
90726,1,1
90726,3,1
90771,3,1
90991,5,4
91451,3,1
91527,3,1
91544,3,2
91588,1,1
91661,4,2
91661,5,2
92023,3,1
92207,5,1
92262,4,1
92406,5,1
92552,3,1
92576,1,2
92647,4,1
92691,5,1
92730,1,2
92917,5,1
93543,4,2
93758,4,2
94893,5,1
95064,3,2
95132,1,2
97207,3,1
DEIS TH 610/TH 252,8,24
FEIS I35E,8,14
FEIS New U.S. Hwy 10,8,24
FEIS TH 3,8,12
FEIS TH 77/I-494,8,72
FEIS US-12/I-394,8,88
MADD,1,12
OHIODD,3,6
PSU 3203A,8,8
PSU 3203B,8,8
SPAR-202,8,1
SPAR-202A,8,24
SPAR-208,8,6
SPAR-208A,8,6
SPAR-210,8,6
SPAR-215,8,24
SPAR-220,8,8
SPAR-224,8,14
SPAR-227,8,16
SPAR-246,8,2
SPARS 15,8,10
SPARS 16,8,16
SPARS 17,8,18
SPARS 18,8,18
SPARS 19,8,20
SPARS 2,8,8
SPARS 2A,8,8
SPARS 3,8,12
SPARS 32,8,6
SPARS 33,8,20
SPARS 37,8,8
SPARS 4,8,24
SPARS 45,8,30
SPARS 48,8,6
SPARS 49,8,8
SPARS 53,8,10
SPARS 60,8,18
SPARS 61,8,20
SPARS 65,8,10
SPARS 69,8,10
SPARS 72,8,12
SPARS 73,8,4
SPARS 75,8,30
SPARS 75A,8,19
SPARS 77,8,6
SPARS 78,8,4
TA-M207A,8,8
TA-M238,8,21
TA-M240,8,6
TA-M242,8,34
TA-M245,8,4
TA-M253,8,5
TA-M253 Distributor Addendum,8,1
TA-M255A,8,12
TA-M286,8,10
TA-M289A,8,8
TA-M292,8,62
TA-M296A,8,8
TA-M298,8,6
TA-M299,8,10
TA-M300,8,6
TA-M301,8,8
TA-M302,8,8
TA-M304,8,28
TA-M307,8,22
TA-M308,8,6
TA-M309,8,6
TA-M311,8,14
TA-M326,8,16
TA-M329,8,20
TA-M335,8,2
TA-M336,8,14
TA-M337,8,24
TA-M343,8,6
TA-M345,8,12
TA-M346,8,8
TA-M358,8,10
TA-M372B,8,6
TAS 3065A-14,8,14
TAS 3066A-14,8,7
TAS 3074B,8,16
TAS 3074C-14,8,6
TAS 3080,8,8
TAS 3081,8,10
TAS 3081A-14,8,12
TAS3081B-14,8,8
TAS3082-14,8,14
TAS3084-14,8,4
TAS3085-14,8,8
TAU 3061A,8,8
TAU 3065,8,6
TAU 3069,8,6
TAU 3073,8,8
TAU 3073A,8,6
TAU 3074,8,2
TAU 3074A,8,4
TAU 3075,8,2
TAU 3076,8,8
TAU 3078,8,6
TAU 3451A,8,6
TAU 3451B,8,6
TAU3204A,8,6
WIDD,3,6
X,3,6
X,4,1
X,5,6
